year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1971	0.1	65.3	3.2	0.5	0	35.4	0	0	0	0.1	0.5	0.4	0	23.4	4.3	0.3	0	13.2	0.3	0	0	0.4	0.5	0.2	0	93.8	3.2	0.4	0	27.9	0.1	0	0	0.8	0.3	0.7	0	86.1	3.5	0.6	0	34.5	0	0	0.1	3.1	0.3	0.3	0	7.1	6.5	0.2	0	14.1	1.4	0	0.4	0	0	0.2	0	27.8	5.3	0.2	0	22.3	0.1	0	0.1	0.2	0.1	0.9
1972	0.1	62.3	3.1	0.5	0	35	0	0	0	0.1	0.4	0.4	0	22.5	4.2	0.3	0	14.7	0.3	0	0	0.3	0.5	0.2	0	94.1	3.7	0.3	0	28.3	0.1	0	0	0.9	0.3	0.6	0	85.4	3.6	0.5	0	34.8	0	0	0.1	3.1	0.3	0.3	0	7.1	6.5	0.2	0	13.7	1.3	0	0.3	0	0	0.2	0	29.3	5.3	0.2	0	24.2	0.1	0	0.1	0.3	0.1	0.9
1973	0.1	64.5	3	0.3	0	37.3	0	0	0.1	0.1	0.4	0.4	0	21.4	4.3	0.4	0	14.3	0.3	0	0	0.3	0.6	0.2	0	93.3	3.3	0.4	0	28.9	0.1	0	0	1.3	0.3	0.6	0	85.3	3.7	0.7	0	34.5	0	0	0.2	3	0.3	0.4	0	7.1	7.4	0.2	0	15	1.2	0	0.4	0	0	0.2	0	29.6	5.5	0.2	0	25.5	0.1	0	0.1	0.3	0	0.8
1974	0.1	69.1	2.9	0.6	0	32.7	0	0	0	0.1	0.5	0.5	0	22.2	4.1	0.3	0	15	0.3	0	0	0.3	0.5	0.2	0	95.2	3.5	0.4	0	28.3	0	0	0	1	0.3	0.6	0	85.9	3.6	0.5	0	33.3	0	0	0.2	2.8	0.3	0.3	0	7.3	6.5	0.2	0	14.3	1.1	0	0.3	0	0	0.2	0	28	5.8	0.2	0	26.5	0.1	0	0.1	0.3	0	0.7
1975	0.1	74.9	3	0.4	0	35.4	0.1	0	0	0.1	0.3	0.6	0	23.3	3.6	0.3	0	12.9	0.3	0	0	0.3	0.6	0.3	0	96.2	3.3	0.3	0	29.1	0.1	0	0	0.9	0.2	0.6	0	85.7	3.5	0.6	0	33.4	0	0	0.2	3.2	0.3	0.3	0	7.3	7.1	0.2	0	15.2	1	0	0.4	0	0	0.2	0	28.8	6.4	0.2	0	25.5	0.1	0	0.1	0.4	0.1	0.7
1976	0.1	73.7	2.9	0.4	0	34.7	0	0	0.1	0.1	0.4	0.4	0	25.5	4.3	0.4	0	14.5	0.3	0	0	0.3	0.5	0.4	0	96.7	3.2	0.4	0	32.7	0.1	0	0	1.1	0.2	0.5	0	84.6	3.5	0.5	0	36.2	0	0	0.2	3	0.3	0.3	0	7.6	6.5	0.2	0	14.2	1.4	0	0.3	0	0	0.2	0	30.3	6.8	0.2	0	26	0.1	0	0.1	0.4	0.1	0.8
1977	0.1	72.2	3.1	0.5	0	35.8	0	0	0.1	0.1	0.4	0.3	0	25.4	3.9	0.4	0	16.1	0.3	0	0	0.2	0.5	0.4	0	99.3	3.4	0.4	0	33.7	0.1	0	0	1.1	0.2	0.6	0	84.8	3.3	0.5	0	36.3	0	0	0.2	3.1	0.3	0.3	0	7.5	7.2	0.2	0	15.9	1.3	0.1	0.5	0	0	0.2	0	30.5	6.9	0.2	0	26.3	0.1	0	0.1	0.3	0.1	0.8
1978	0.1	73.7	3.1	0.4	0	36.7	0	0	0	0.1	0.4	0.4	0	24.4	4.1	0.4	0	15.3	0.3	0	0	0.3	0.6	0.3	0	102	3.9	0.5	0	35.2	0.1	0	0	1	0.2	0.6	0	88.2	3.6	0.6	0	35.2	0	0	0.2	3.1	0.3	0.3	0	7.4	7.4	0.2	0	16.6	1.2	0.1	0.5	0	0	0.2	0	32.3	6.2	0.2	0	28.1	0.1	0	0.1	0.3	0.1	0.8
1979	0	75	3	0.5	0	34.7	0	0	0	0.1	0.4	0.5	0	24.6	4.2	0.3	0	16.4	0.3	0	0	0.3	0.6	0.3	0	104.4	3.9	0.5	0	35	0.1	0	0	1	0.2	0.6	0	90.9	3.7	0.6	0	34.7	0	0	0.2	3.3	0.3	0.4	0	7.6	6.7	0.2	0	15.2	1.3	0	0.3	0	0	0.2	0	32.9	5.9	0.2	0	28.5	0.1	0	0.1	0.4	0.1	0.8
1980	0	75.5	3.2	0.5	0	36.6	0	0	0	0.2	0.4	0.6	0	24.1	4.4	0.3	0	18.5	0.3	0	0	0.3	0.5	0.3	0	104.8	4	0.5	0	36.5	0.1	0	0	1.1	0.2	0.6	0	91.5	3.6	0.6	0	35.7	0	0	0.2	3.6	0.3	0.4	0	7.7	6.8	0.2	0	16.4	0.8	0	0.3	0	0	0.2	0	32.7	5.9	0.2	0	29.6	0.1	0	0.1	0.4	0.1	0.8
1981	0	74.5	3.1	0.5	0	38	0	0	0	0.2	0.4	0.3	0	25	4.1	0.4	0	21.7	0.3	0	0	0.3	0.6	0.3	0	102.3	4.2	0.5	0	41.6	0.1	0	0	1.2	0.2	0.6	0	91.9	3.8	0.4	0	37.3	0	0	0.2	3.4	0.2	0.5	0	8.1	6.9	0.2	0	16.6	1	0	0.3	0	0	0.2	0	32.8	6.5	0.2	0	31.3	0	0	0.1	0.5	0.1	0.8
1982	0	67	2.8	0.4	0	36.5	0	0	0	0.1	0.4	0.5	0	24.5	4.1	0.3	0	20	0.3	0	0	0.3	0.6	0.2	0	98.7	4.7	0.5	0	42.8	0.1	0	0	1.1	0.2	0.6	0	92.1	3.8	0.7	0	36.1	0	0	0.2	3.6	0.2	0.4	0	8.8	6.6	0.2	0	16.3	1	0	0.3	0	0	0.2	0	32.8	6.6	0.2	0	31.3	0	0	0.1	0.5	0.1	0.8
1983	0	64.2	2.7	0.5	0	34.8	0	0	0	0.1	0.4	0.5	0	24.3	4.1	0.4	0	21.4	0.3	0	0	0.3	0.6	0.2	0	99.7	4.8	0.6	0	43.2	0	0	0	0.8	0.2	0.6	0	92.3	3.7	0.5	0	35.5	0	0	0.2	3.3	0.2	0.4	0	9.3	7.5	0.2	0	16.2	1.1	0.1	0.4	0	0	0.2	0	33.8	6.7	0.2	0	32.1	0	0	0.1	0.5	0.1	0.8
1984	0	67.6	3.1	0.4	0	32.7	0	0	0	0.1	0.4	0.4	0	25	3.9	0.4	0	21.5	0.3	0	0	0.2	0.6	0.2	0	101.8	5	0.7	0	42.2	0	0	0	0.7	0.2	0.5	0	93.6	3.9	0.6	0	34.6	0	0	0.2	3.6	0.2	0.5	0	9.8	7.1	0.2	0	17.1	1	0.1	0.5	0	0	0.2	0	34.4	6.5	0.1	0	32.8	0	0	0.1	0.5	0.1	0.8
1985	0	71.6	3.1	0.4	0	32.9	0.1	0	0	0.1	0.4	0.5	0	25.1	3.7	0.4	0	21.8	0.3	0	0	0.3	0.5	0.3	0	102.9	5.3	0.8	0	43.3	0	0	0	0.7	0.2	0.6	0	96.1	3.9	0.6	0	34.9	0	0	0.2	4.3	0.3	0.5	0	10.3	6.3	0.2	0	16.7	1	0.1	0.6	0	0	0.2	0	35	6.3	0.2	0	33	0	0	0.1	0.6	0.1	0.8
1986	0	67.2	2.6	0.4	0	35.2	0.1	0	0	0.1	0.4	0.5	0	25.2	3.6	0.5	0	22	0.3	0	0	0.3	0.4	0.3	0	101.9	5.4	0.9	0	44.2	0	0	0	1	0.2	0.6	0	93.4	4	0.7	0	35.9	0	0	0.2	4	0.2	0.5	0	10.5	6.8	0.2	0	16.8	1.1	0	0.5	0	0	0.3	0	35.4	6.5	0.2	0	34	0.1	0	0.1	0.6	0.1	0.8
1987	0	71.1	2.6	0.4	0	34.5	0.1	0	0	0.1	0.4	0.5	0	24.9	3.6	0.6	0	24.7	0.3	0	0	0.3	0.5	0.3	0	106	5.3	0.9	0	46.5	0	0	0	1.1	0.2	0.6	0	96.4	4.1	0.7	0	36	0	0	0.2	3.7	0.2	0.5	0	10.3	7.1	0.2	0	16.9	0.9	0	0.4	0	0	0.3	0	36.1	6.4	0.2	0	34.9	0.1	0	0.1	0.8	0.1	0.8
1988	0	66.4	2.6	0.4	0	35.2	0.1	0	0	0.1	0.5	0.5	0	26.4	3.8	0.7	0	24.1	0.3	0	0	0.3	0.5	0.3	0	107.1	5.5	0.7	0	46.5	0	0	0	1.2	0.2	0.7	0	96.7	4	0.7	0	37.6	0	0	0.2	3.6	0.3	0.5	0	10.2	7.4	0.2	0	18.8	0.8	0.1	0.5	0	0	0.2	0	36.7	7.1	0.1	0	36	0.1	0	0.1	1	0.1	0.8
1989	0	64.8	3.7	0.3	0	34.5	0	0	0	0.1	0.3	0.4	0	27.5	4	0.9	0	23.6	0.3	0	0	0.3	0.5	0.3	0	109.4	5.4	0.8	0	46	0	0	0	1.3	0.2	0.7	0	93	3.9	0.7	0	38.7	0	0	0.2	3.9	0.3	0.5	0	10.6	8	0.2	0	19.6	1	0.1	0.5	0	0	0.2	0	37.1	6.5	0.1	0	36.6	0.1	0	0.1	1	0.1	0.8
1990	0	61.4	4.3	0.4	0	32.9	0	0	0	0.1	0.2	0.4	0	28.8	3.8	0.6	0	23.9	0.3	0	0	0.3	0.6	0.3	0	105.2	5.4	0.8	0	47.4	0	0	0	1.2	0.2	0.7	0	91.3	3.5	0.7	0	41	0	0	0.2	4.3	0.2	0.5	0	10.6	6.6	0.2	0	20.2	0.9	0.1	0.5	0	0	0.2	0	36.9	6.6	0.1	0	37.5	0.1	0	0.1	0.9	0.1	0.8
1991	0	63.7	4.2	0.4	0	35.8	0.1	0	0.1	0.2	0.2	0.5	0	28.7	3.8	0.7	0	24.2	0.3	0	0	0.3	0.6	0.2	0	106.6	5.5	0.8	0	48.5	0	0	0.1	1.4	0.2	0.7	0.1	88.4	3.7	0.6	0	47.7	0	0	0.2	4.6	0.2	0.5	0	10.4	7.3	0.2	0	20	1	0.1	0.4	0	0	0.2	0	37.2	6.4	0.1	0	37.8	0	0	0.2	0.9	0.1	0.8
1992	0	66.5	4.3	0.4	0	38.4	0	0	0.1	0.4	0.2	0.5	0	27.2	4	0.9	0	25.5	0.4	0	0	0.3	0.5	0.2	0	108	5.3	0.9	0	48.6	0	0	0	1.4	0.2	0.6	0.1	89.2	3.7	0.8	0	48	0	0	0.2	4.4	0.2	0.5	0	10.6	7.9	0.2	0	20.3	0.8	0.1	0.5	0	0	0.2	0	36.5	6.4	0.1	0	39.2	0.1	0	0.2	1	0.1	0.8
1993	0	70.1	4.4	0.4	0	38.8	0	0	0	0.4	0.3	0.5	0	28.1	4.2	0.7	0	28.8	0.4	0	0	0.3	0.6	0.2	0	107.1	5.2	0.8	0	49.1	0	0	0	0.9	0.2	0.7	0	84	3.6	0.5	0	48.3	0	0	0.2	4.1	0.2	0.5	0	10.8	7	0.2	0	19	0.8	0.1	0.6	0	0	0.2	0	36.8	6.2	0.1	0	39.1	0.1	0	0.1	1	0.1	0.8
1994	0	70.9	4.6	0.4	0	38.9	0.1	0	0.1	0.3	0.4	0.4	0	29.7	4	0.7	0	29.3	0.4	0	0	0.3	0.6	0.2	0	107.5	5.1	0.8	0	48.6	0	0	0	0.9	0.2	0.5	0.1	84.4	3.7	0.6	0	48.1	0	0	0.2	3.5	0.2	0.5	0	11	6.9	0.2	0	20.9	0.9	0.1	0.5	0	0	0.2	0	36.9	7.1	0.1	0	39.2	0	0	0.2	1	0.1	0.8
1995	0	68.5	4.7	0.4	0	39	0	0	0.1	0.2	0.3	0.4	0	31.5	4	1	0	29.7	0.4	0	0	0.3	0.6	0.3	0	107.4	5	0.9	0	48.7	0	0	0	0.8	0.2	0.6	0	83.3	3.8	0.5	0	50	0	0	0.2	2.6	0.2	0.5	0	11.5	7.1	0.2	0	21.8	1.1	0.1	0.5	0	0	0.2	0	37.2	6.6	0.2	0	39.2	0	0	0.2	1.1	0.1	0.8
1996	0	68.2	4.6	0.5	0	37.6	0	0	0.1	0.2	0.3	0.5	0	30.5	4.2	1	0	31.5	0.4	0	0	0.3	0.6	0.3	0	108.3	4.9	1	0	46.8	0	0	0	0.8	0.2	0.6	0.1	85.1	3.7	0.6	0	54.5	0	0	0.2	2.5	0.2	0.5	0	11.7	7.4	0.2	0	23.7	0.9	0	0.5	0	0	0.2	0	37.6	6.4	0.2	0	43.1	0	0	0.2	1.3	0	0.8
1997	0	68.4	4.5	0.5	0	36.6	0	0	0.1	0.2	0.4	0.4	0	30.3	4.3	1	0	31.2	0.4	0	0	0.3	0.6	0.3	0	110	5.1	1	0	48.2	0	0	0	1.2	0.2	0.5	0	83.2	3.3	0.5	0	55.3	0.1	0	0.2	3	0.2	0.5	0	11.8	7	0.3	0	24.6	1	0.1	0.5	0	0	0.2	0	36.2	6.4	0.2	0	44.4	0	0	0.2	1.2	0.1	0.8
1998	0	70.5	4.6	0.5	0	38.5	0	0	0.1	0.2	0.4	0.6	0	30.2	4.4	0.7	0	32	0.4	0	0	0.3	0.5	0.3	0	111.3	4.9	0.9	0	48.6	0	0	0	1.5	0.2	0.6	0	85.2	3.8	0.6	0	52.4	0.1	0	0.2	3.6	0.2	0.5	0	12	6.9	0.3	0	22.2	1	0.1	0.6	0	0	0.3	0	35.1	6.3	0.1	0	44.6	0	0	0.2	1.1	0	0.8
1999	0	73.5	4.5	0.5	0	39.6	0	0	0.1	0.2	0.3	0.5	0	29.5	4.5	1.3	0	32	0.4	0	0.2	0.3	0.6	0.3	0	110.2	4.9	0.8	0	49.1	0	0	0	1.6	0.2	0.6	0	84.7	3.7	0.6	0	51	0	0	0.2	3.1	0.2	0.5	0	12.3	6.4	0.3	0	24.5	1	0.1	0.6	0	0	0.3	0	35.3	6.3	0.2	0	44.4	0	0	0.2	1.2	0	0.8
2000	0	71.8	4.4	0.5	0	38.6	0	0	0.1	0.2	0.3	0.5	0	30	4.7	1.1	0	32.8	0.4	0	0.2	0.2	0.4	0.3	0	109.7	5.2	0.9	0	50.5	0	0	0	2.2	0.2	0.6	0	81.8	3.8	0.7	0	55.5	0	0	0.2	2.9	0.2	0.5	0	12.1	7	0.3	0	24.4	0.8	0.1	0.6	0	0	0.3	0	35.8	6.4	0.1	0	45.5	0	0	0.2	1.3	0	0.8
2001	0	67.9	4.6	0.6	0	40.3	0	0	0.1	0.2	0.3	0.5	0	30.3	4.5	1.1	0	32.8	0.4	0	0.2	0.2	0.5	0.2	0	109.9	5.4	0.9	0	52.1	0	0	0	2	0.2	0.5	0	82.9	4	0.5	0	50	0	0	0.2	2.2	0.2	0.6	0	12.2	6.7	0.3	0	22.9	0.8	0.1	0.6	0	0	0.3	0	35.6	6.5	0.2	0	45.3	0	0	0.2	1.2	0	0.8
2002	0	57.8	4.6	0.5	0	35.7	0	0	0	0.1	0.3	0.4	0	30.3	4.5	1.2	0	33.1	0.4	0	0.2	0.2	0.4	0.2	0	108.5	5.8	0.9	0	52.8	0	0	0	2	0.2	0.6	0	83.5	4.4	0.5	0	49.7	0	0	0.2	2.3	0.2	0.6	0	12.1	6.9	0.3	0	22.7	0.9	0.1	0.4	0	0	0.3	0	35.7	6.4	0.2	0	44.1	0	0	0.2	1.2	0	0.8
2003	0	59	4.1	0.5	0	34.5	0	0	0.1	0.1	0.2	0.4	0	30.1	4.7	1.3	0	32.7	0.3	0	0.2	0.2	0.4	0.3	0	107.1	5.5	0.8	0	51.8	0	0	0	2.2	0.2	0.6	0.1	85.2	4.3	0.5	0	49.8	0	0	0.2	2.3	0.2	0.5	0	12.1	7.8	0.3	0	21.9	0.7	0	0.6	0	0	0.3	0	35.6	6.4	0.2	0	43.6	0	0	0.2	1.3	0	0.8
2004	0	58.1	4.3	0.5	0	36.9	0	0	0	0.1	0.2	0.4	0	30.7	4.7	1.3	0	31.6	0.3	0	0.2	0.2	0.4	0.3	0	101.7	5.4	1	0	50.5	0	0	0	2.4	0.2	0.6	0.1	83.4	4.2	0.4	0	52.2	0	0	0.2	1.4	0.2	0.5	0	12.4	6.8	0.3	0	23.1	0.9	0	0.6	0	0.1	0.2	0	35.3	6.3	0.2	0	46.3	0	0	0.2	1.3	0	0.7
2005	0	63.4	3.9	0.4	0	37.8	0	0	0	0.2	0.2	0.4	0	31.8	4.4	1.3	0	32.4	0.4	0	0.2	0.2	0.4	0.3	0	98.5	5.9	1	0	55.2	0	0	0	2	0.2	0.6	0.1	82.4	4.2	0.4	0	52.4	0	0	0.2	2.2	0.2	0.5	0	12.7	6.9	0.3	0	24.9	0.8	0	0.6	0	0.1	0.2	0	35.7	6.7	0.2	0.1	45.6	0	0	0.2	1.3	0	0.8
2006	0	64.2	3.4	0.4	0	37.6	0.1	0	0	0.2	0.2	0.4	0	32.6	4.2	1.4	0	33.3	0.3	0	0.2	0.3	0.4	0.2	0	95.9	5.6	0.9	0.1	57.8	0	0	0	1.8	0.2	0.5	0.1	81.1	4.3	0.4	0	54	0	0	0.2	2.1	0.2	0.5	0	13.1	7.4	0.3	0	24.6	0.9	0.1	0.6	0	0.1	0.3	0	34.7	6.6	0.2	0.1	45.9	0	0	0.2	1.4	0	0.8
2007	0	65.7	3.6	0.3	0	36.6	0	0	0	0.2	0.2	0.4	0	32.6	4.5	1.4	0	32.4	0.3	0	0.2	0.4	0.4	0.2	0	97.7	5.5	0.9	0.1	57.5	0	0	0	1.9	0.1	0.6	0	82.8	3.8	0.4	0	56.2	0	0	0.2	2.6	0.2	0.5	0	13.5	7.4	0.4	0	26.1	1	0	0.6	0	0	0.4	0	34.9	6.6	0.2	0.1	45	0	0	0.2	1.4	0	0.7
2008	0	67.4	3.8	0.4	0	36.6	0.1	0	0.1	0.3	0.2	0.4	0	34	4.7	1.3	0	31.2	0.3	0	0.2	0.3	0.4	0.2	0	96.7	5.9	0.8	0.1	58.5	0	0	0.1	2.5	0.2	0.6	0	81.6	4.1	0.4	0	56.9	0	0	0.2	1.9	0.2	0.5	0	13.7	6.9	0.4	0	25.6	0.9	0.1	0.6	0	0.1	0.4	0	34.9	6.5	0.2	0	45.1	0	0	0.2	1.3	0	0.7
2009	0	67	3.4	0.4	0	37.1	0	0	0.1	0.2	0.2	0.4	0	35	4.7	1.2	0	30.5	0.4	0	0.2	0.4	0.5	0.2	0	93.1	5.8	0.8	0.1	63.8	0	0	0.1	1.6	0.1	0.5	0	81.4	3.9	0.4	0	56.7	0	0	0.2	2.3	0.2	0.5	0	13.9	6.9	0.4	0	26.6	1.1	0	0.6	0	0.1	0.3	0	34.2	6.4	0.1	0	43.5	0.1	0	0.2	1.3	0	0.7
