year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,cereals_barley,cereals_cereals-other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed-oil,oilcrops_groundnut,oilcrops_oilcrops-other,oilcrops_olives,oilcrops_palm-oil,oilcrops_rape-and-mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_cloves,spices_pepper,spices_pimento,spices_spices-other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,stimulants_cocoa-beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other,
1971,3070,1624,3325,65499,6032,2424,25798,6672,430,42665,2385,7977,64952,1039,6913,94,692,3746,117,123,1147,232,272,7770,1625,5540,2561,2828,3311,1149,859,5087,2559,1163,4229,813,4563,4,40,291,323,12019,7231,4724,3590,2996,580,290,75,38573,841,580,714,4188,
1972,3052,1559,3149,65402,5980,2460,25624,6284,479,42317,2276,7276,65294,982,6817,92,665,3765,131,126,1198,227,250,7997,1666,5682,2726,2778,3399,1323,774,4910,2630,1115,4127,787,4647,5,38,288,325,11770,6947,4610,3410,2966,640,290,76,38727,833,575,729,4128,
1973,3159,1638,3096,64949,6228,2509,25523,6706,452,42651,2137,7176,66600,1020,6836,95,733,3786,150,127,1250,227,295,7913,1736,5546,2794,2672,3177,1304,748,5282,2953,1087,4009,717,4540,7,37,284,349,11891,7034,4622,3399,2952,672,300,81,38846,847,581,767,4120,
1974,3198,1630,3147,65538,6099,2242,25835,6524,408,43829,2171,7486,65821,978,6798,92,757,3717,169,127,1187,248,384,7561,1921,5399,2852,2660,3452,1229,781,5694,2803,1095,3872,734,4527,3,41,274,356,11577,6993,4585,3465,2841,666,293,83,38516,1002,625,835,4237,
1975,3377,1551,3243,66085,6254,2281,26326,6054,409,43333,2078,7140,66110,1068,6983,93,703,3653,177,129,1160,256,369,7870,1749,5337,2759,2572,3731,1256,706,6048,2766,1138,4038,706,4560,4,42,279,357,11629,6777,4583,3576,2754,621,302,88,37470,897,603,871,4268,
1976,3465,1552,3270,67480,6181,2488,26429,5725,436,43725,2004,7323,66281,1092,6973,103,650,3684,207,132,1140,271,393,7977,1636,5505,2777,2702,3879,1261,742,6214,2906,1148,4037,705,4634,5,42,299,355,11494,6719,4447,3567,2773,626,298,92,38698,954,618,801,4281,
1977,3592,1537,3111,68283,6094,2478,25913,5393,440,43908,1945,6849,67820,1059,6945,103,695,3541,184,135,1194,283,415,7764,1713,5525,2735,2659,4181,1155,684,6431,2990,1155,4186,746,4526,7,42,294,381,11283,6840,4506,3427,2623,676,258,92,39304,991,670,811,4379,
1978,3569,1448,3105,69741,6175,2243,26287,4908,444,43975,1896,7066,68748,1108,7004,106,683,3570,175,127,1138,294,441,7576,1779,5187,2696,2701,4005,1240,671,7176,3301,1177,4091,701,4644,4,47,307,420,11231,6879,4371,3595,2822,670,284,91,40092,1055,677,902,4456,
1979,3528,1459,3101,70525,6311,2224,26728,4969,482,45375,1874,6960,68262,1185,7230,110,680,3619,157,117,1161,316,483,7122,1763,5097,2747,2661,4028,1401,675,7740,3574,1179,4039,690,4572,4,48,306,432,10829,6889,4458,3397,2731,677,314,97,40285,1104,680,928,4516,
1980,3575,1386,3162,71853,6106,2363,27346,4923,403,45251,1866,6802,69490,1189,6974,102,621,3577,199,124,1293,335,510,7274,1784,4759,2818,2679,4089,1541,612,8239,3794,1171,4029,784,4504,4,52,306,409,10698,6892,4314,3329,2742,751,324,94,40660,1174,676,919,4584,
1981,3563,1291,3279,72114,6341,2446,27125,4462,390,46335,1793,6266,69711,1111,6783,96,598,3636,230,130,1222,315,551,7136,1830,4797,3245,2507,4449,1702,670,8484,3758,1219,4160,784,4475,6,51,302,404,10781,7049,4214,3176,2663,742,337,91,40316,1141,660,956,4640,
1982,3670,1281,3280,71762,6094,2426,26883,4700,468,46401,1720,6138,68807,1253,6730,102,610,3723,241,139,1317,302,522,7182,1753,4557,3288,2699,4553,1733,681,9134,3816,1287,3911,786,4552,5,49,307,414,10429,7103,4257,3112,2578,784,322,91,40447,1169,710,964,4747,
1983,3524,1192,3310,71655,6190,2273,27144,4685,466,46184,1805,6134,70350,1256,6619,102,605,3833,143,133,1200,283,528,7087,1450,4251,3371,2545,4812,1795,658,9083,3692,1304,3969,750,4454,4,52,302,432,10154,6793,4247,3102,2488,772,334,94,40363,1271,693,993,4618,
1984,3473,1176,3266,72320,5964,2334,27088,4415,497,47030,1895,6099,69919,1259,6702,97,595,3803,161,137,1247,307,577,6906,1464,4320,3436,2688,4702,2209,658,9103,4053,1282,3890,759,4440,4,47,315,442,10200,7012,4245,2902,2614,782,331,96,40289,1303,717,1021,4783,
1985,3567,1251,3179,72902,5947,2016,28348,4782,480,47334,1785,6430,69895,1172,6780,95,583,3749,184,139,1232,316,585,6843,1531,4367,3321,2532,4813,2525,649,8777,4325,1363,3850,762,4522,4,48,296,440,10125,7068,4121,2910,2450,849,330,92,40310,1307,732,1026,4790,
1986,3511,1229,2828,72168,6101,2069,28571,5040,424,47199,1699,6364,70294,1251,6678,98,596,3706,190,140,1240,338,618,6897,1455,4279,3319,2610,5478,2860,707,8483,4543,1436,3834,828,4567,2,54,311,478,10126,7133,4154,2903,2511,813,303,91,40885,1318,757,1012,4831,
1987,3385,1171,2884,72885,6172,2194,28172,5166,441,46509,1655,6364,71100,1205,6674,99,619,3733,327,152,1359,347,621,6772,1387,4329,3578,2588,5157,2770,704,8831,4768,1405,3763,872,4763,7,51,320,453,9902,7077,4097,3018,2418,822,324,82,40762,1439,764,1009,4909,
1988,3465,1151,2752,72540,6302,1870,28139,5245,465,46925,1581,6298,72315,1313,6773,99,580,3812,317,155,1383,367,563,6866,1531,4453,3569,2372,5151,2979,700,9152,5123,1442,3808,855,4655,7,65,312,481,10345,7047,3904,2918,2455,847,323,87,40441,1483,770,1028,4936,
1989,3518,1193,2639,72079,6422,1673,28421,5069,486,47513,1541,6291,71762,1344,6742,96,589,3769,313,150,1402,460,595,6704,1482,4452,3718,2245,5566,3108,654,8921,5111,1511,3709,851,4615,8,60,330,487,10174,7103,3716,2791,2485,885,324,84,40505,1458,803,1059,4966,
1990,3437,1132,2664,71822,6332,1913,28431,5259,484,46387,1519,6034,70947,1287,6322,98,570,3728,319,149,1392,454,554,6922,1415,4197,3521,2286,6138,2952,750,9222,5104,1551,3687,902,4384,8,64,338,457,10321,7034,3583,2659,2590,850,330,91,39857,1472,766,1071,5017,
1991,3451,1126,2606,71871,6330,1879,28605,4946,478,46523,1506,5581,71590,1136,6454,98,567,3722,268,132,1355,453,662,6786,1407,4174,3353,2302,6313,3445,735,9300,5059,1527,3734,828,4481,7,64,305,456,10237,7000,3433,2660,2676,907,330,89,39444,1562,753,1046,5014,
1992,3429,1147.5,2632.2,72025.8,6114.8,1859.1,28246.6,4685.1,493.7,46893.4,1461.1,5897,71288.4,1293.5,6569.5,102,574,3891.8,330,136.4,1443.9,491.6,589.5,6653.1,1452.9,4202.8,3473.4,2376.9,6385.5,3421.3,744.9,9593.3,5163.4,1554,3672,868.3,4263.2,11,70.7,336.4,491.5,9845,7195.1,3240,2614,2700,971.2,341.1,97.8,39188.3,1640.5,801.1,1070.6,5110.8,
1993,3340.7,1103.2,2639.9,71705.4,6093.5,1662.4,28940.3,4518.2,497.5,47299.9,1332.7,6095.5,70114.9,1332,6563.2,103,592,3891.4,289,130.4,1417.1,516.3,590.6,6707.5,1263,4335.7,3226,2281.2,6807.1,3352.9,745,9925.3,4909.7,1543.7,3588.8,816.5,4282.7,8,65.1,360.5,501,9717,7308.4,3164.6,2641.6,2687.6,980.9,335.1,98.8,38916,1724.9,801.7,1093,5216.8,
1994,3239.1,1088.5,2595.9,71518.5,6210.3,1794.4,28999,4776.2,492.3,46847,1324.1,6268.4,71166.1,1242,6632.2,100.5,615,3950.7,252.7,136.4,1422.5,502.7,674.2,6443.6,1291,4480,3225.8,2376.2,6393.9,3239,767.1,9739.9,5101.3,1546.8,3635.4,829.5,4429.8,10,65.6,363.7,538.8,9910,7338.9,3216.5,2592.6,2804.6,1041.5,329.2,92.8,39338.4,1772.2,829.7,1092.1,5281.8,
1995,3253.7,1105.5,2581,72347.9,6361.9,1699.8,29228.8,4628.4,467.7,47197.6,1364.6,6161.3,70964.9,1191.4,6711,99.6,604,3843.3,261,143.7,1368.3,429.9,809.8,6718.1,1366.6,4427.5,3114.6,2233.2,6638.4,3377.5,809.1,9668.2,5614.9,1587.9,3758.9,816.9,4277.4,13,74.3,378.9,591.6,9909,7330.9,3287.2,2530.6,2701.6,1018.9,308.3,93.9,39509.7,1836.1,892.6,1130.5,5441.7,
1996,3252.7,1096.4,2626.5,72188.2,6138.4,1677.9,29122.7,4511.7,504.7,47611.1,1301.3,6241.6,71138.7,1301.1,6772.9,101.7,631,3967.1,314,140.4,1414.6,458.6,772.4,6421.3,1387,4446.6,2980.1,2429.8,6467.8,3391.3,812.1,9727.4,5608.8,1619.5,3731.4,853.1,4247.9,12,72.4,375,577.2,10068,7484.8,3440.1,2464.6,2823.6,1045.5,347.8,97.7,40044.1,1881.5,893.9,1188.1,5555.3,
1997,3294,1096.1,2627.9,72656.4,6129.6,1425.7,28979.4,4438.2,491.7,47428,1319.9,5722.3,71735.7,1305.5,6658.8,112.1,658,3826.3,321.3,163.9,1569.3,447.1,796.4,6421.5,1456,4657.3,3112.9,2526.4,6628.4,3534.3,874.6,9806,5790.5,1759.5,3776.8,879.2,4154,10,62.3,353.9,575.8,10121,7620.3,3526.3,2472.6,2896.6,1211.5,334.7,94.8,40227.4,1940.1,919.5,1109.7,5521.5,
1998,3254.8,1075.2,2639.7,73303.6,6474.3,1275.1,28853.1,4415,539.8,47300.1,1280.1,5642.8,72962.5,1259,6571.5,108,629.1,3785.7,303.3,154.6,1555.4,423.1,755.6,6342.1,1333.8,4704.5,3020.9,2660,6599.8,3522,866.2,10219,5849.6,1686.9,3827.4,911.9,4258.1,18,61.4,357.8,612.3,10081,7763.4,3640.7,2490.6,2935.7,1196.9,346.9,105.8,39718.8,2068.7,945.7,1185,5616.9,
1999,3253.8,1061.5,2616.8,74230.6,6379.1,1301,28616.8,4590.5,523.3,48151.9,1234.5,5425.6,73385.5,1314.8,6697.8,127,664.2,3863.7,298.4,161.5,1558.4,494.8,786.4,6372.5,1308.2,4739.7,3007.2,2696.4,6715.4,3717.4,846.8,10423.6,5726.8,1755.3,3923.2,854.9,4284.7,7,69.6,385.4,581.1,10256,7852.7,3655.9,2604.5,2883.6,1167.5,346.9,91.8,39485.1,2151.3,1012.8,1275.8,5644.1,
2000,3178.6,1025.1,2670.1,74226.3,6042.9,1364.8,29451.3,4571.5,500.6,48270.4,1191.9,5296.3,73038.5,1378.6,6736.7,126.1,673,3923.1,278.5,175.5,1550.9,502.2,874.7,6510.5,1201.1,4758.6,3074.3,2736,6680,3660.9,942,10796.8,5831.1,1813.8,3919.1,914.7,4123.6,10,98.4,401.4,605.9,10318,7916.4,3602.5,2586.4,2872.6,1258.8,349.5,93.8,39903.9,2243.1,1044.5,1277.3,5741.5,
2001,3140.3,1021.9,2672.5,74674.4,6228.5,1401.8,29243.6,4555.7,516.8,48121.9,1250.4,5369.5,74273.7,1344.6,6608.4,125,704.1,3914.6,298,172,1548.2,489.7,886.6,6459.9,1258,4968.5,3018,2712.6,7046.1,3258.8,976.7,11272.8,5643.2,1840.1,3989.1,975.1,4173,8,83.3,418.4,656.4,10430,8071.2,3598.3,2738.2,2825.6,1240.4,368.2,100.8,39991.2,2342.1,1053,1208.3,5770,
2002,3233.5,1010,2656.7,75037.6,6221.9,1389.3,29102.5,4314.3,502.6,48549.8,1215.8,5164.8,74534.4,1336.5,6676.6,126.4,722.6,3967.4,274.1,160.7,1617.8,509.3,950,6565.2,1218.8,5256.6,3011,2866.5,7280.2,3230.6,993.6,11498,5411.1,1908.6,3995.1,1019.6,4284.1,10,105.2,411.7,669.1,10076,8127.1,3714.5,2706.3,2864.6,1226,382.5,105.9,39994.6,2306.4,1028,1216.1,5810.4,
2003,3218.1,968.7,2725.3,74835.9,6207.2,1368.3,29555.4,4471.9,524.4,48401.7,1177.7,5346.8,74920.3,1363.9,6590.8,130.1,695.6,4004.2,292.1,158.5,1603.5,487.3,944.3,6411.8,1124.4,5137.2,3079.3,2817.6,7557,3033.2,985.4,11554.1,5815.1,1950.2,4094,1010.7,4300.7,10,107.3,434.9,711,9935,8213.3,3599.6,2750,2908.6,1357.3,382.6,101.8,40504.2,2376.4,1045.9,1269.1,5944.1,
2004,3288.2,980.7,2742.4,74867.8,6335.7,1327.7,29679,4429.8,531.2,48548.2,1164.5,5064.2,74771.4,1374.1,6649.7,122,736.6,4096,291.3,151,1594.1,495.8,1147.1,6398.3,1211,5092.8,3468.5,3007.5,7950.6,3338.3,1149.2,11352.8,5680.3,1993.9,3976,1026.9,4293.9,10,84.4,428.8,710.8,9933,8226.1,3645.1,2747.1,2869.7,1432.7,399.2,96.8,40621.9,2405.4,1071.6,1379.7,5946.7,
2005,3202.6,995.1,2752.3,75695.7,6309.9,1330.1,29560.6,4408.9,542.5,49344.7,1164.9,5387.8,75073,1373.5,6509.8,143,732.6,4083.5,325.1,164.5,1583.4,538.7,1192.4,6571,1130.7,5175.9,3345.4,2843.3,8182.5,3285.7,1155.1,11489.8,5888.2,2100.7,4029.7,1136,4288.3,7,97.4,442.7,781.7,10014,8241.6,3627.9,2739.2,2762.7,1445.8,410.6,102.1,40200,2508.1,1108.7,1314.2,5986.8,
2006,3286.6,1020.8,2856.4,76038.6,6478.5,1342.1,29726.5,4766.5,586.6,49508.5,1069.4,5452.1,74979.9,1347.7,6659.5,128,718.6,4198.7,312.1,159.7,1651.6,570.3,1217.9,6455.6,1173.2,5097.6,3327,3046,8531.1,3222,1170.6,11570.8,5947.4,2172.2,4113.8,1070.5,4353.3,13,100.9,441.9,776.9,9948,8046.9,3527.3,2672.3,2944.6,1593.8,423.7,101,40148,2598.4,1114.1,1314.8,6021.5,
2007,3362.9,1009.2,2856.8,77729.8,6594.4,1514.7,30025.8,4649.5,595.8,49463.1,1139.8,5386.7,74741.1,1390.8,6674.7,122,724.5,4278.6,312.1,155.7,1617.6,545.1,1277.1,6713.6,999.3,5054.5,3314.3,2991.3,8305.9,3201,1200.3,11815.2,5931.1,2193,4184.5,1101.3,4486.3,7,107.4,481.2,807,9917,8050.6,3562.4,2653.2,2999.5,1656.9,455.8,111,40203.8,2775.4,1138.6,1327.8,5959.9,
2008,3423.7,988.1,2736.1,77302.8,6563.5,1477.9,30097.8,4576.9,608.2,49846.6,1108.2,5304.1,75048.4,1411.1,6598.3,124.2,686.6,4262,315,159.1,1641.8,521.5,1379.3,6541.8,928.2,5304.4,3516.8,2941,8743.3,3395.6,1158.5,11971.9,5859.5,2288.1,4166.6,1043.4,4419,7,106.5,496,776.8,10029,8007.8,3545.9,2629,3056.6,1621.9,443.3,108.7,40130.5,2805.4,1122.1,1316.8,5965.1,
2009,3324,973.2,2741,77185.6,6370.2,1577.4,30548,4421.1,631,50634.9,1111.6,5316.1,75750.9,1422.1,6633.5,123.1,728,4376.2,292.1,160.7,1597.8,497,1386.1,6556.4,844.9,5287.1,3473.9,3206.7,9167,3361.6,1173,11502.2,6195.7,2222.2,4256.7,1136.9,4470.6,8,113.5,499.4,780.9,9787,8018.5,3493.8,2640.2,3086.4,1614.1,471.7,103,39891.1,2760.7,1133.8,1360.4,5922.4,
