year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1971	0.1	60	25.5	1.4	0	0.1	0.8	0	0	1.7	4.9	2.3	0	22.1	16.8	1.9	0	0.3	2.6	0.2	0	1	2.3	1.1	0.1	65.8	23.9	1	0	0.7	1.2	0	0	1	4.2	4.6	0.1	53.1	23.3	1.2	0	1.3	0.6	0	0	1.2	4.9	2.1	0	6.2	30	0.3	0	0.8	9.2	0.3	0.5	0.1	0.4	1.6	0.1	38.5	26.5	0.7	0	10.2	2	0	0.1	0.5	0.9	4.5
1972	0.1	57.4	24.3	1.2	0	0.1	0.7	0	0	1.9	4.1	2.3	0	21.5	16.7	1.9	0	0.2	2.8	0.2	0	1	2.2	1.1	0.1	66	23.9	1	0	1.1	1.2	0	0	1.1	4.1	4.2	0.1	53.8	23.1	1.2	0	1.3	0.6	0	0	1.3	4.7	2.2	0	6	31.2	0.3	0	0.7	8.3	0.3	0.3	0.1	0.4	1.7	0.1	39.5	26.4	0.8	0	10.5	1.7	0	0.1	0.6	0.9	4.4
1973	0	59.4	24.4	1.2	0	0.1	0.6	0	0.1	1.9	4	2.4	0	20.2	16.9	2	0	0.2	2.7	0.2	0	1	2.5	1.2	0.1	66.6	23.2	1.1	0	0.9	1.2	0	0	1.2	4.1	4.3	0.1	54.4	23.2	1.4	0	1.3	0.7	0	0	1.3	4.6	2.3	0	6.1	32.8	0.3	0	0.7	8.3	0.3	0.5	0.1	0.4	1.7	0.1	41.1	26.8	0.9	0	10.5	1.6	0	0.1	0.6	0.9	4.3
1974	0.1	65.2	24.6	1.3	0	0.1	0.7	0	0	1.7	5.1	2.3	0	19.2	17.5	1.9	0	0.2	2.8	0.2	0	1	2.4	1.1	0.1	66.7	23.6	1	0	0.6	1	0	0	1.2	4.2	4.3	0.1	55.1	23.3	1.2	0	1.2	0.5	0	0	1.1	4.5	2.4	0	6.4	30.1	0.3	0	0.6	7.1	0.4	0.4	0.1	0.4	1.7	0.1	40.7	26.2	0.7	0	10.2	1.6	0	0.1	0.6	0.9	4.2
1975	0.1	70.3	25	1.4	0	0.1	0.5	0	0	1.9	3.4	2.6	0	20.1	16.5	2	0	0.3	3.2	0.3	0	1	2.7	1.2	0.1	67	23.8	0.9	0	0.7	1.2	0	0	1.2	4	4.2	0.1	55.8	22.8	1.2	0.1	1.2	0.5	0.1	0	1.3	4.4	2.2	0	6.2	32.6	0.3	0	0.7	7.8	0.3	0.5	0.1	0.5	1.7	0.1	41	26.4	0.7	0	9.9	1.5	0	0.1	0.6	0.9	4.2
1976	0.1	70.1	25	1.1	0	0.1	0.6	0	0.1	1.9	3.6	2.3	0	21.8	17.7	1.9	0	0.2	2.7	0.3	0	0.8	3	1.5	0.2	68.9	24.4	1	0	0.8	1.1	0	0	1.2	3.2	3.7	0.1	56.1	23.5	1.2	0.1	1.2	0.6	0	0	1.4	4.1	2.2	0	6.4	28.5	0.3	0	0.5	9	0.3	0.4	0.1	0.5	1.7	0.1	44.3	25.9	0.7	0	9.7	1.2	0	0.1	0.6	0.9	4.1
1977	0.1	69.8	25.1	1	0	0.1	0.6	0	0.1	1.7	4	2.1	0	22.1	16.9	1.9	0	0.2	2.7	0.3	0	0.8	3.2	1.4	0	71	24.9	0.9	0	0.9	1.5	0	0	1.1	3.7	4.2	0.1	55.6	23.1	1.2	0.2	1.2	0.6	0	0	1.3	4.3	2.5	0	6.5	32.8	0.3	0	0.7	8.3	0.4	0.5	0.1	0.5	1.7	0.1	44.8	25.3	0.7	0	9.3	1.1	0	0.1	0.6	1	4.2
1978	0.1	72.2	25.4	0.9	0	0.1	0.5	0	0.1	1.5	3.6	2.2	0	21.2	17.5	1.9	0	0.3	2.9	0.3	0	0.9	3.8	1.4	0	72.7	24.5	1	0	0.8	1.3	0	0	1.2	3.7	4.4	0.1	57.7	23.9	1.2	0.2	1.3	0.6	0	0.1	1.4	4.4	2.5	0	6.4	33.7	0.3	0	0.8	8	0.4	0.4	0.2	0.6	1.8	0.1	47	24.8	0.7	0	9.4	1.1	0	0.1	0.6	1.1	4.3
1979	0	71.8	24.8	1.1	0	0.1	0.5	0	0.1	1.7	3.8	2.2	0	21.8	17.6	1.9	0	0.1	3	0.4	0	0.8	3.5	1.4	0.1	75.4	24.4	0.9	0	1.1	1.2	0	0	1.3	3.4	4.4	0.1	58.2	23.8	1.3	0.2	1.5	0.7	0	0.3	1.6	4.3	2.5	0	6.5	31.4	0.3	0	0.5	7.7	0.3	0.4	0.1	0.7	1.7	0.1	47	24.6	0.8	0	9.5	1.1	0	0.1	0.7	1.1	4.3
1980	0	72.4	24.4	1.2	0	0.1	0.7	0	0	1.6	3.7	2.3	0	21.9	18.4	1.9	0	0.3	3.5	0.4	0	0.9	3.3	1.4	0.1	75.5	24.9	0.9	0	1	1.1	0	0	1.3	3.2	4.2	0.1	60	24.3	1.3	0.2	1.3	0.7	0	0.2	1.7	4.1	2.4	0	6.6	31.4	0.3	0	0.9	6.1	0.3	0.4	0.1	0.5	1.7	0.1	46.6	24.4	0.6	0	9.5	1.2	0.1	0.1	0.7	1	4.2
1981	0	71.3	24.6	1	0	0.1	0.8	0	0	1.6	4.8	1.9	0	23	18.1	1.9	0	0.2	3.3	0.3	0	0.9	3.7	1.4	0.1	76.1	24.9	0.8	0	0.9	1.2	0	0	1.3	3.2	4.1	0.1	59.3	24.2	1.1	0.2	1.4	0.6	0	0.3	1.7	3.9	2.6	0	6.9	32.2	0.3	0	0.9	7	0.3	0.4	0.1	0.5	1.8	0.1	47	24.1	0.6	0	9.3	1	0.1	0.1	0.7	1	4.2
1982	0	62.8	25	0.8	0	0.1	0.9	0	0	1.9	3.9	2	0	22.4	18.8	1.6	0	0.1	3.6	0.3	0	0.9	3.5	1.2	0.1	75.5	25.6	1	0	0.9	1.3	0	0	1.3	3.3	4.4	0.1	59.5	24.1	1.3	0.2	1.4	0.6	0	0.1	1.8	3.9	2.6	0	7.2	31.2	0.3	0	1	7.1	0.3	0.4	0.1	0.6	1.8	0.1	47.6	24.1	0.7	0	9.3	1	0.1	0.1	0.7	1	4.2
1983	0	61.5	23.9	1	0	0.1	0.7	0	0	1.5	4.1	2.1	0	21.4	18.8	1.8	0	0.2	3.7	0.3	0	0.7	3.5	1.2	0.1	75.8	26.1	0.9	0	1	1.2	0	0	1.3	3.3	4.2	0.1	61.3	25	1.1	0.2	1.4	0.7	0	0.3	1.7	3.9	2.5	0	7.6	34.8	0.3	0	1	7.7	0.3	0.4	0.1	0.6	1.9	0.1	49.4	23.8	0.7	0	9.6	0.9	0.1	0.1	0.7	1	4.1
1984	0	64.1	24	1	0	0.1	0.6	0	0	2	4.3	2	0	22.5	18.8	1.5	0	0.3	3.6	0.4	0	0.7	3.7	1.2	0.1	76.3	25.7	1.1	0	1	1.1	0	0	1.2	3.2	4.1	0.1	61.6	25.7	1.4	0.2	1.4	0.7	0	0.2	1.7	4	2.8	0	8	33.4	0.3	0	0.9	7.6	0.3	0.4	0.2	0.6	1.9	0.1	49.9	23.6	0.6	0	9.8	1	0.1	0.1	0.7	1	4.2
1985	0	69	24.3	1	0	0.1	0.7	0	0	1.7	4.5	2.1	0	22.3	18.1	1.6	0	0.3	3.6	0.4	0	0.7	3	1.3	0	78.8	25.7	1	0	1.1	1	0	0	1.2	3.3	4.6	0.1	61.9	25.7	1.3	0.1	1.6	0.7	0	0.2	1.8	4.2	2.7	0	8.2	32	0.3	0	0.7	7.2	0.3	0.5	0.2	0.6	1.9	0.1	51.3	23.6	0.7	0	9.6	1	0.1	0.1	0.8	1.1	4.1
1986	0	63.2	23.6	0.9	0	0.1	0.8	0	0	1.6	4.1	2.1	0	22.9	18.1	1.7	0	0.3	3.4	0.4	0	0.8	3.1	1.4	0	77.7	25.6	1.1	0	1	1.3	0	0	1.2	3.2	4.2	0.1	62.1	25.6	1.4	0.1	1.8	0.8	0	0.2	1.8	4	2.7	0	8.4	32.6	0.3	0	0.7	8	0.3	0.4	0.1	0.5	2	0.1	51.6	23.5	0.7	0	10.1	1.1	0.1	0.1	0.9	1.1	4.2
1987	0	66.2	24.9	0.9	0	0.1	0.9	0	0	1.4	4.1	2	0	22.8	18.1	1.8	0	0.3	3.9	0.4	0	0.7	3.3	1.1	0	78	25.5	1.1	0	0.9	1.3	0	0	1.3	3.2	4.4	0.1	62.9	26	1.3	0.1	1.7	0.7	0	0.2	1.9	4	2.7	0	8.3	33.8	0.3	0	0.7	7.2	0.2	0.5	0.1	0.6	2	0.1	53.6	23	0.7	0.1	10.4	1.1	0.1	0.1	0.9	1.1	4.2
1988	0	61.4	24	1.1	0	0.1	1.3	0	0	1.6	5.5	2.1	0	24.4	18	1.8	0	0.3	3.8	0.4	0	0.6	3.6	1.1	0	77.4	26.2	1.1	0	1.2	1.2	0	0	1.3	3.2	4.8	0.1	63.5	26.2	1.4	0	1.5	0.5	0	0.2	1.8	4.1	2.8	0	8.3	35.6	0.3	0.1	0.9	7.1	0.2	0.5	0.2	0.6	2	0.1	54.8	23.3	0.6	0	10.5	1.1	0.1	0.1	0.9	1	4.1
1989	0	61	25.3	0.9	0	0.1	0.8	0	0	1.6	4	1.9	0	25.5	18.4	1.8	0	0.3	3.5	0.3	0	0.7	3.6	1	0	77.2	26	1.1	0	1.5	1.1	0	0	1.3	3.1	4.9	0.1	62	26	1.3	0	1.7	0.4	0	0.2	1.9	4.1	2.8	0	8.6	36.8	0.3	0	0.9	7.9	0.2	0.6	0.2	0.7	1.9	0.1	55.8	23.2	0.6	0	10.5	1.2	0.1	0.1	1	1.2	4.2
1990	0	58.7	25.1	0.8	0	0.1	0.6	0	0	1.6	2.9	2	0	26.7	17.9	1.5	0	0.3	4.3	0.3	0	0.6	3.3	1	0	77.2	25.5	1.1	0	1.5	1.2	0	0	1.5	3.1	4.8	0.1	61.3	24.1	1.4	0	2	0.8	0	0.2	2.2	3.4	2.7	0	8.6	32.2	0.3	0	1	7.4	0.2	0.5	0.2	0.6	1.9	0.1	55.2	22.9	0.6	0	10.2	1.1	0.1	0.2	1	1.2	4
1991	0	60.4	25.4	1	0	0.1	0.9	0	0	1.7	3.2	2.1	0	26.9	18.1	1.5	0	0.4	4.2	0.3	0	0.7	3.2	0.8	0.1	80	25.2	1	0	1.4	1.2	0	0	1.6	3.1	4.8	0.2	59.8	24.1	1.2	0	2.2	0.5	0	0.2	2	3.4	2.8	0	8.5	34.6	0.4	0	0.9	7.6	0.2	0.4	0.2	0.6	1.9	0.1	54.6	23	0.5	0	10.3	1.1	0.1	0.2	1	1.1	4
1992	0	63.8	25.2	1	0	0.1	0.7	0	0	1.8	2.9	2.3	0	26	18.5	1.8	0	1.2	4.7	0.3	0	0.7	3.1	0.7	0	77.6	24.4	1.1	0	1.5	1.3	0	0	1.6	3.2	4.5	0.2	58.5	23.6	1.4	0	2.3	0.5	0	0.2	2.1	3.4	3	0	8.7	36.2	0.4	0	1.3	6.4	0.2	0.6	0.2	0.7	1.9	0.1	54.7	23.1	0.6	0	10.5	1.1	0.1	0.2	1	1	4.2
1993	0	66.5	24.5	1	0	0.1	0.7	0	0	2.1	3.7	2.2	0	26.9	18.7	1.8	0	1.8	4.1	0.3	0	0.7	3.7	0.7	0	75.1	25.9	1.1	0	1.5	1.3	0	0	1.6	3.2	4.5	0.1	55.1	24	1.2	0	2.2	0.6	0	0.2	2.1	3.4	2.6	0	8.9	32.3	0.4	0	1.4	6.6	0.1	0.7	0.2	0.7	2	0.1	55.7	23.2	0.6	0	9.9	1.2	0.1	0.2	1	0.9	4.1
1994	0	66.1	24.3	1.1	0	0.1	1	0	0	2.2	4	2	0	27.8	19	1.7	0	2.9	4.3	0.3	0	0.6	3.6	0.7	0.1	75	25.9	1	0	1.3	1.2	0	0	1.6	2.9	3.7	0.2	56.6	24.7	1.1	0	2.5	0.6	0	0.2	1.9	3.3	2.8	0	9	32.4	0.4	0	1.2	6.8	0.2	0.5	0.2	0.7	2	0.1	56.3	23	0.6	0	10	1	0.1	0.2	1	1	4
1995	0	64.1	25.1	1.1	0	0.1	0.8	0	0.1	2.2	4.1	2.1	0	30.2	19.1	1.8	0	2.8	3.9	0.3	0	0.7	3.6	0.9	0.1	75.9	26	1.1	0	1.4	1.4	0	0	1.5	3	3.9	0.1	56.4	24.8	1	0	2.6	0.7	0	0.2	1.8	3.3	2.8	0	9.3	33.7	0.4	0	1.6	7.5	0.2	0.5	0.2	0.7	2.1	0.1	56.5	23.1	0.6	0.1	9.9	0.8	0.1	0.3	1	1	4.2
1996	0	64.2	25.7	1	0	0.1	0.9	0	0	2.3	3.7	2	0	29.7	19.4	1.6	0	3.8	4.4	0.3	0	0.4	3.6	1.1	0.1	76.7	26.2	1.1	0	1.2	1.1	0	0	1.7	3	4	0.2	57.8	24.9	1.3	0	2.6	0.7	0	0.1	1.8	3.4	3	0	9.5	33.8	0.4	0	1.6	6.6	0.1	0.6	0.2	0.7	1.9	0.1	55.4	23.3	0.5	0.1	10.3	1	0.1	0.3	1.1	1	4.2
1997	0	64.8	24.9	1.2	0	0.1	0.9	0	0.1	2.3	4.9	1.9	0	29.6	20.1	1.6	0	3.3	4.4	0.3	0	0.5	3.4	1.3	0.1	77.5	26.3	0.9	0	1.4	1.3	0	0	1.6	3	3.8	0.1	56.9	21.2	1	0	2.5	1	0	0.2	1.9	3.3	3.1	0	9.6	33.1	0.4	0	1.3	7	0.2	0.6	0.2	0.9	1.8	0.1	53.8	22.9	0.6	0.1	10.1	0.9	0.1	0.3	1	1	4
1998	0	66	24.9	1.1	0	0.1	0.7	0	0.1	2.2	5.2	2.2	0	29.9	20.2	1.4	0	3	4.2	0.3	0	0.5	3.3	1.2	0	78.6	26.7	0.8	0	1.3	1.3	0	0	1.6	2.9	4	0.1	57.9	25.1	1	0	2.3	1	0	0.1	1.9	3.2	3	0	9.6	32.9	0.5	0	1.9	6.2	0.3	0.7	0.2	0.6	2.2	0.1	53.4	22.5	0.4	0.1	10.2	0.8	0.1	0.3	1	1	4
1999	0	68.6	25.6	1.2	0	0.1	0.8	0	0.1	2.5	4.2	2.3	0	28.6	20.5	1.6	0	2.1	4.5	0.3	0.1	0.5	3.5	1.1	0	78.1	26.7	0.9	0	1.4	1.3	0	0	1.7	2.9	3.9	0.1	56.9	25.5	1.1	0	2.5	0.8	0	0.2	1.9	3.2	3.2	0	9.8	33.6	0.5	0	1.7	6.8	0.3	0.7	0.2	0.8	2.4	0	53.7	22.4	0.6	0.1	9.8	1	0.1	0.3	1.1	1	4.1
2000	0	67.7	27.3	1.3	0	0.1	0.6	0	0	2.4	3.4	2.2	0	29.5	21.6	1.8	0	2.7	4.7	0.3	0.2	0.4	2.1	1.3	0.1	78.3	27.1	1	0.1	1.4	1.2	0	0	1.8	2.8	3.9	0.1	57.2	25.7	1.3	0	2.7	0.9	0	0.2	1.8	3.2	3.3	0	9.6	32.1	0.4	0	1.7	6.2	0.1	0.7	0.2	0.9	2.4	0	56.2	22.4	0.6	0.1	10	0.9	0.1	0.3	1.2	1	4.2
2001	0	64.4	25.4	1.4	0	0.1	0.7	0	0.1	2.4	3.7	2.1	0	30.2	21.7	1.8	0	2.1	4.7	0.3	0.1	0.4	2.4	1.1	0.1	80.2	27.4	1	0.1	1.3	1.2	0	0	1.8	2.8	3.8	0.1	59	27.8	1	0	2.7	0.5	0	0.3	1.7	3.1	3.4	0	9.7	31.5	0.4	0	1.6	6.4	0.1	0.7	0.2	0.8	2.6	0	56.5	22.2	0.6	0.1	10.1	0.9	0.1	0.3	1.1	1	4.1
2002	0	54.8	26	1	0	0.1	0.6	0	0	2.1	3.3	2.1	0	30.2	21.2	1.7	0	2.2	4.6	0.3	0.1	0.4	2.4	1.1	0.1	79.7	27.6	1.1	0.1	1.5	1.2	0	0	1.8	2.8	3.9	0.1	59	29.2	1.1	0	2.6	0.4	0	0.3	1.7	3.1	3.3	0	9.5	32.6	0.4	0	1.5	6.5	0.1	0.5	0.2	0.8	2.1	0	54.8	22.1	0.5	0.1	10	0.9	0.1	0.3	1.1	1	3.8
2003	0	56.3	28.6	1	0	0.1	0.7	0	0	2.1	3.1	2	0	30.1	22	1.6	0	1.3	4.5	0.3	0.1	0.6	2.7	1.2	0	77.9	27.4	1.1	0.1	1.3	1.3	0	0	1.7	2.8	3.8	0.2	60.4	27.5	1	0	2.4	0.5	0	0.3	1.6	3	3.2	0	9.5	34.3	0.4	0	1.7	6.2	0.1	0.7	0.2	0.7	2.4	0	54.8	22.1	0.5	0.1	10.1	0.9	0.1	0.3	1.2	0.9	3.8
2004	0	55.5	27.8	1.1	0	0.1	0.6	0	0	1.9	2.8	1.9	0	30.5	21.8	1.8	0.1	0.8	4.1	0.3	0.1	0.5	2.6	1.1	0	75	27.6	1.1	0.1	1.2	1.1	0	0	1.6	2.8	4.1	0.2	59.3	27.6	1	0	2.8	0.4	0	0.2	1.5	3.2	3.2	0	9.8	32.4	0.5	0	1.8	6.2	0.1	0.7	0.2	0.8	1.9	0	52.4	22.1	0.5	0.1	10	0.8	0.1	0.3	1.2	0.9	3.9
2005	0	60.9	27.3	1	0	0.1	0.5	0	0	2	2.4	2	0	31.6	20.9	1.8	0	0.8	4.5	0.3	0.1	0.5	2.3	1.2	0	73.9	27.8	1.1	0.1	1.2	1.2	0	0	1.7	2.7	3.7	0.2	59.4	28.4	1	0	2.9	0.4	0	0.3	1.4	3.1	2.9	0	10	32.1	0.5	0	1.5	5.8	0.1	0.6	0.2	0.9	2.2	0	53	22	0.6	0.1	10	0.8	0.1	0.3	1.2	0.9	4
2006	0	62.5	25.6	0.8	0	0.1	1.4	0	0	2	2.5	1.9	0	32.6	21.1	2	0	0.7	4.2	0.3	0.1	0.5	2.6	1	0	71.7	28.8	1.2	0.1	1.3	1.2	0	0	1.7	2.7	3.5	0.2	60.7	28.2	1	0	2.8	0.5	0	0.3	1.6	2.7	2.9	0	10.4	32.7	0.5	0	1.5	6.6	0.1	0.7	0.2	0.9	2.4	0	51.2	21.8	0.6	0.1	9.9	0.8	0.1	0.3	1.2	0.9	3.9
2007	0	63.4	23.8	0.8	0.1	0.1	0.8	0	0	2.2	2.5	1.9	0	32.4	20.8	2	0.1	0.8	4	0.3	0.2	0.4	3.2	1.1	0.1	72.9	27.6	1.2	0.1	1.3	1.1	0	0	1.8	2.5	3.6	0.1	62.9	27.2	1	0	3	0.4	0	0.3	1.7	2.7	3	0	10.7	32.8	0.6	0	1.8	7.3	0.1	0.8	0.2	0.9	2.6	0	51.2	22.2	0.5	0.1	9.8	0.8	0.1	0.3	1.2	0.9	4
2008	0	64	22.7	0.9	0.1	0.1	1.8	0	0	1.7	2.4	1.9	0	34.2	21.5	1.9	0	0.8	3.8	0.3	0.1	0.3	2.8	1.1	0.1	72.4	29.1	1.1	0.1	1.4	1.1	0	0.1	1.7	2.5	3.7	0.2	62.8	26.5	1	0	2.8	0.4	0	0.2	1.7	2.8	3	0	11.1	31.3	0.6	0	1.7	6.6	0.1	0.7	0.2	1	2.6	0	50.9	21.8	0.6	0.1	9.7	0.8	0.1	0.3	1.2	0.9	3.8
2009	0	62.7	22	0.9	0.1	0.1	0.9	0	0	1.6	2.5	1.8	0	35.1	21.2	1.8	0	1.2	4.3	0.3	0.1	0.7	2.8	1.1	0	71.1	28.1	1.1	0.1	1.5	1	0	0.1	1.6	2.2	3.3	0.1	62.7	26.9	1	0	3.2	0.4	0	0.3	1.5	2.9	3.1	0	11.1	31.4	0.8	0	2	7	0	0.6	0.2	1	2.5	0	50.6	21.9	0.6	0.1	9.3	1	0.1	0.3	1.2	0.9	3.6
