year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,grains_barley,grains_cereals-other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed-oil,oils_groundnut,oils_oilcrops-other,oils_olives,oils_palm-oil,oils_rape-and-mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_and_stimulants_cloves,spices_and_stimulants_cocoa-beans,spices_and_stimulants_coffee,spices_and_stimulants_pepper,spices_and_stimulants_pimento,spices_and_stimulants_spices-other,spices_and_stimulants_tea,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,sweeteners_sugar,sweeteners_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other
1978,23.5,9.5,20.4,458.8,7.3,46.1,0.7,4.5,23.5,1.2,0.8,7.5,1.9,40.6,14.8,172.9,32.3,2.9,289.3,12.5,46.5,452.3,2.9,49.8,11.7,34.1,17.7,17.8,26.3,8.2,4.4,47.2,21.7,7.7,26.9,4.6,30.6,0,4.4,1.9,0.3,2,2.8,0.6,73.9,45.3,28.8,23.7,18.6,263.8,6.9,4.5,5.9,29.3
1979,23.2,9.6,20.4,464,7.8,47.6,0.7,4.5,23.8,1,0.8,7.6,2.1,41.5,14.6,175.8,32.7,3.2,298.5,12.3,45.8,449.1,3.2,46.9,11.6,33.5,18.1,17.5,26.5,9.2,4.4,50.9,23.5,7.8,26.6,4.5,30.1,0,4.5,2.1,0.3,2,2.8,0.6,71.2,45.3,29.3,22.3,18,265,7.3,4.5,6.1,29.7
1980,23.5,9.1,20.8,472.7,7.8,45.9,0.7,4.1,23.5,1.3,0.8,8.5,2.2,40.2,15.5,179.9,32.4,2.7,297.7,12.3,44.8,457.2,3.4,47.9,11.7,31.3,18.5,17.6,26.9,10.1,4,54.2,25,7.7,26.5,5.2,29.6,0,4.9,2.1,0.3,2,2.7,0.6,70.4,45.3,28.4,21.9,18,267.5,7.7,4.4,6,30.2
1981,23.4,8.5,21.6,474.4,7.3,44.6,0.6,3.9,23.9,1.5,0.9,8,2.1,41.7,16.1,178.5,29.4,2.6,304.8,11.8,41.2,458.6,3.6,46.9,12,31.6,21.3,16.5,29.3,11.2,4.4,55.8,24.7,8,27.4,5.2,29.4,0,4.9,2.2,0.3,2,2.7,0.6,70.9,46.4,27.7,20.9,17.5,265.2,7.5,4.3,6.3,30.5
1982,24.1,8.4,21.6,472.1,8.2,44.3,0.7,4,24.5,1.6,0.9,8.7,2,40.1,16,176.9,30.9,3.1,305.3,11.3,40.4,452.7,3.4,47.2,11.5,30,21.6,17.8,30,11.4,4.5,60.1,25.1,8.5,25.7,5.2,29.9,0,5.2,2.1,0.3,2,2.7,0.6,68.6,46.7,28,20.5,17,266.1,7.7,4.7,6.3,31.2
1983,23.2,7.8,21.8,471.4,8.3,43.5,0.7,4,25.2,0.9,0.9,7.9,1.9,40.7,15,178.6,30.8,3.1,303.8,11.9,40.4,462.8,3.5,46.6,9.5,28,22.2,16.7,31.7,11.8,4.3,59.8,24.3,8.6,26.1,4.9,29.3,0,5.1,2.2,0.3,2,2.8,0.6,66.8,44.7,27.9,20.4,16.4,265.5,8.4,4.6,6.5,30.4
1984,22.8,7.7,21.5,475.8,8.3,44.1,0.6,3.9,25,1.1,0.9,8.2,2,39.2,15.4,178.2,29,3.3,309.4,12.5,40.1,460,3.8,45.4,9.6,28.4,22.6,17.7,30.9,14.5,4.3,59.9,26.7,8.4,25.6,5,29.2,0,5.1,2.2,0.3,2.1,2.9,0.6,67.1,46.1,27.9,19.1,17.2,265.1,8.6,4.7,6.7,31.5
1985,23.5,8.2,20.9,479.6,7.7,44.6,0.6,3.8,24.7,1.2,0.9,8.1,2.1,39.1,13.3,186.5,31.5,3.2,311.4,11.7,42.3,459.8,3.8,45,10.1,28.7,21.8,16.7,31.7,16.6,4.3,57.7,28.5,9,25.3,5,29.8,0,5.6,2.2,0.3,1.9,2.9,0.6,66.6,46.5,27.1,19.1,16.1,265.2,8.6,4.8,6.8,31.5
1986,23.1,8.1,18.6,474.8,8.2,43.9,0.6,3.9,24.4,1.2,0.9,8.2,2.2,40.1,13.6,188,33.2,2.8,310.5,11.2,41.9,462.5,4.1,45.4,9.6,28.2,21.8,17.2,36,18.8,4.7,55.8,29.9,9.4,25.2,5.4,30,0,5.3,2,0.4,2,3.1,0.6,66.6,46.9,27.3,19.1,16.5,269,8.7,5,6.7,31.8
1987,22.3,7.7,19,479.5,7.9,43.9,0.7,4.1,24.6,2.2,1,8.9,2.3,40.6,14.4,185.3,34,2.9,306,10.9,41.9,467.8,4.1,44.6,9.1,28.5,23.5,17,33.9,18.2,4.6,58.1,31.4,9.2,24.8,5.7,31.3,0,5.4,2.1,0.3,2.1,3,0.5,65.1,46.6,27,19.9,15.9,268.2,9.5,5,6.6,32.3
1988,22.8,7.6,18.1,477.2,8.6,44.6,0.7,3.8,25.1,2.1,1,9.1,2.4,41.5,12.3,185.1,34.5,3.1,308.7,10.4,41.4,475.8,3.7,45.2,10.1,29.3,23.5,15.6,33.9,19.6,4.6,60.2,33.7,9.5,25.1,5.6,30.6,0,5.6,2.1,0.4,2.1,3.2,0.6,68.1,46.4,25.7,19.2,16.2,266.1,9.8,5.1,6.8,32.5
1989,23.1,7.8,17.4,474.2,8.8,44.4,0.6,3.9,24.8,2.1,1,9.2,3,42.2,11,187,33.3,3.2,312.6,10.1,41.4,472.1,3.9,44.1,9.8,29.3,24.5,14.8,36.6,20.4,4.3,58.7,33.6,9.9,24.4,5.6,30.4,0.1,5.8,2.1,0.4,2.2,3.2,0.6,66.9,46.7,24.4,18.4,16.3,266.5,9.6,5.3,7,32.7
1990,22.6,7.4,17.5,472.5,8.5,41.6,0.6,3.8,24.5,2.1,1,9.2,3,41.7,12.6,187,34.6,3.2,305.2,10,39.7,466.8,3.6,45.5,9.3,27.6,23.2,15,40.4,19.4,4.9,60.7,33.6,10.2,24.3,5.9,28.8,0.1,5.6,2.2,0.4,2.2,3,0.6,67.9,46.3,23.6,17.5,17,262.2,9.7,5,7,33
1991,22.7,7.4,17.1,472.8,7.5,42.5,0.6,3.7,24.5,1.8,0.9,8.9,3,41.6,12.4,188.2,32.5,3.1,306.1,9.9,36.7,471,4.4,44.6,9.3,27.5,22.1,15.1,41.5,22.7,4.8,61.2,33.3,10,24.6,5.4,29.5,0,6,2.2,0.4,2,3,0.6,67.3,46.1,22.6,17.5,17.6,259.5,10.3,5,6.9,33
1992,22.6,7.5,17.3,473.9,8.5,43.2,0.7,3.8,25.6,2.2,0.9,9.5,3.2,40.2,12.2,185.8,30.8,3.2,308.5,9.6,38.8,469,3.9,43.8,9.6,27.7,22.9,15.6,42,22.5,4.9,63.1,34,10.2,24.2,5.7,28,0.1,6.4,2.2,0.5,2.2,3.2,0.6,64.8,47.3,21.3,17.2,17.8,257.8,10.8,5.3,7,33.6
1993,22,7.3,17.4,471.7,8.8,43.2,0.7,3.9,25.6,1.9,0.9,9.3,3.4,40.1,10.9,190.4,29.7,3.3,311.2,8.8,40.1,461.3,3.9,44.1,8.3,28.5,21.2,15,44.8,22.1,4.9,65.3,32.3,10.2,23.6,5.4,28.2,0.1,6.5,2.2,0.4,2.4,3.3,0.7,63.9,48.1,20.8,17.4,17.7,256,11.3,5.3,7.2,34.3
1994,21.3,7.2,17.1,470.5,8.2,43.6,0.7,4,26,1.7,0.9,9.4,3.3,40.9,11.8,190.8,31.4,3.2,308.2,8.7,41.2,468.2,4.4,42.4,8.5,29.5,21.2,15.6,42.1,21.3,5,64.1,33.6,10.2,23.9,5.5,29.1,0.1,6.9,2.2,0.4,2.4,3.5,0.6,65.2,48.3,21.2,17.1,18.5,258.8,11.7,5.5,7.2,34.7
1995,21.4,7.3,17,476,7.8,44.2,0.7,4,25.3,1.7,0.9,9,2.8,41.9,11.2,192.3,30.4,3.1,310.5,9,40.5,466.9,5.3,44.2,9,29.1,20.5,14.7,43.7,22.2,5.3,63.6,36.9,10.4,24.7,5.4,28.1,0.1,6.7,2,0.5,2.5,3.9,0.6,65.2,48.2,21.6,16.6,17.8,259.9,12.1,5.9,7.4,35.8
1996,21.4,7.2,17.3,474.9,8.6,44.6,0.7,4.2,26.1,2.1,0.9,9.3,3,40.4,11,191.6,29.7,3.3,313.2,8.6,41.1,468,5.1,42.2,9.1,29.3,19.6,16,42.6,22.3,5.3,64,36.9,10.7,24.5,5.6,27.9,0.1,6.9,2.3,0.5,2.5,3.8,0.6,66.2,49.2,22.6,16.2,18.6,263.4,12.4,5.9,7.8,36.5
1997,21.7,7.2,17.3,478,8.6,43.8,0.7,4.3,25.2,2.1,1.1,10.3,2.9,40.3,9.4,190.7,29.2,3.2,312,8.7,37.6,471.9,5.2,42.2,9.6,30.6,20.5,16.6,43.6,23.3,5.8,64.5,38.1,11.6,24.8,5.8,27.3,0.1,8,2.2,0.4,2.3,3.8,0.6,66.6,50.1,23.2,16.3,19.1,264.7,12.8,6,7.3,36.3
1998,21.4,7.1,17.4,482.3,8.3,43.2,0.7,4.1,24.9,2,1,10.2,2.8,42.6,8.4,189.8,29,3.6,311.2,8.4,37.1,480,5,41.7,8.8,31,19.9,17.5,43.4,23.2,5.7,67.2,38.5,11.1,25.2,6,28,0.1,7.9,2.3,0.4,2.4,4,0.7,66.3,51.1,24,16.4,19.3,261.3,13.6,6.2,7.8,37
1999,21.4,7,17.2,488.4,8.6,44.1,0.8,4.4,25.4,2,1.1,10.3,3.3,42,8.6,188.3,30.2,3.4,316.8,8.1,35.7,482.8,5.2,41.9,8.6,31.2,19.8,17.7,44.2,24.5,5.6,68.6,37.7,11.5,25.8,5.6,28.2,0,7.7,2.3,0.5,2.5,3.8,0.6,67.5,51.7,24.1,17.1,19,259.8,14.2,6.7,8.4,37.1
2000,20.9,6.7,17.6,488.3,9.1,44.3,0.8,4.4,25.8,1.8,1.2,10.2,3.3,39.8,9,193.8,30.1,3.3,317.6,7.8,34.8,480.5,5.8,42.8,7.9,31.3,20.2,18,43.9,24.1,6.2,71,38.4,11.9,25.8,6,27.1,0.1,8.3,2.3,0.6,2.6,4,0.6,67.9,52.1,23.7,17,18.9,262.5,14.8,6.9,8.4,37.8
2001,20.7,6.7,17.6,491.3,8.8,43.5,0.8,4.6,25.8,2,1.1,10.2,3.2,41,9.2,192.4,30,3.4,316.6,8.2,35.3,488.6,5.8,42.5,8.3,32.7,19.9,17.8,46.4,21.4,6.4,74.2,37.1,12.1,26.2,6.4,27.5,0.1,8.2,2.4,0.5,2.8,4.3,0.7,68.6,53.1,23.7,18,18.6,263.1,15.4,6.9,7.9,38
2002,21.3,6.6,17.5,493.7,8.8,43.9,0.8,4.8,26.1,1.8,1.1,10.6,3.4,40.9,9.1,191.5,28.4,3.3,319.4,8,34,490.4,6.2,43.2,8,34.6,19.8,18.9,47.9,21.3,6.5,75.6,35.6,12.6,26.3,6.7,28.2,0.1,8.1,2.5,0.7,2.7,4.4,0.7,66.3,53.5,24.4,17.8,18.8,263.1,15.2,6.8,8,38.2
2003,21.2,6.4,17.9,492.3,9,43.4,0.9,4.6,26.3,1.9,1,10.5,3.2,40.8,9,194.4,29.4,3.4,318.4,7.7,35.2,492.9,6.2,42.2,7.4,33.8,20.3,18.5,49.7,20,6.5,76,38.3,12.8,26.9,6.6,28.3,0.1,8.9,2.5,0.7,2.9,4.7,0.7,65.4,54,23.7,18.1,19.1,266.5,15.6,6.9,8.3,39.1
2004,21.6,6.5,18,492.6,9,43.7,0.8,4.8,26.9,1.9,1,10.5,3.3,41.7,8.7,195.3,29.1,3.5,319.4,7.7,33.3,491.9,7.5,42.1,8,33.5,22.8,19.8,52.3,22,7.6,74.7,37.4,13.1,26.2,6.8,28.2,0.1,9.4,2.6,0.6,2.8,4.7,0.6,65.3,54.1,24,18.1,18.9,267.2,15.8,7,9.1,39.1
2005,21.1,6.5,18.1,498,9,42.8,0.9,4.8,26.9,2.1,1.1,10.4,3.5,41.5,8.8,194.5,29,3.6,324.6,7.7,35.4,493.9,7.8,43.2,7.4,34.1,22,18.7,53.8,21.6,7.6,75.6,38.7,13.8,26.5,7.5,28.2,0,9.5,2.7,0.6,2.9,5.1,0.7,65.9,54.2,23.9,18,18.2,264.5,16.5,7.3,8.6,39.4
2006,21.6,6.7,18.8,500.3,8.9,43.8,0.8,4.7,27.6,2.1,1.1,10.9,3.8,42.6,8.8,195.6,31.4,3.9,325.7,7,35.9,493.3,8,42.5,7.7,33.5,21.9,20,56.1,21.2,7.7,76.1,39.1,14.3,27.1,7,28.6,0.1,10.5,2.8,0.7,2.9,5.1,0.7,65.4,52.9,23.2,17.6,19.4,264.1,17.1,7.3,8.6,39.6
2007,22.1,6.6,18.8,511.4,9.2,43.9,0.8,4.8,28.1,2.1,1,10.6,3.6,43.4,10,197.5,30.6,3.9,325.4,7.5,35.4,491.7,8.4,44.2,6.6,33.3,21.8,19.7,54.6,21.1,7.9,77.7,39,14.4,27.5,7.2,29.5,0,10.9,3,0.7,3.2,5.3,0.7,65.2,53,23.4,17.5,19.7,264.5,18.3,7.5,8.7,39.2
2008,22.5,6.5,18,508.6,9.3,43.4,0.8,4.5,28,2.1,1,10.8,3.4,43.2,9.7,198,30.1,4,327.9,7.3,34.9,493.7,9.1,43,6.1,34.9,23.1,19.3,57.5,22.3,7.6,78.8,38.5,15.1,27.4,6.9,29.1,0,10.7,2.9,0.7,3.3,5.1,0.7,66,52.7,23.3,17.3,20.1,264,18.5,7.4,8.7,39.2
2009,21.9,6.4,18,507.8,9.4,43.6,0.8,4.8,28.8,1.9,1.1,10.5,3.3,41.9,10.4,201,29.1,4.2,333.1,7.3,35,498.4,9.1,43.1,5.6,34.8,22.9,21.1,60.3,22.1,7.7,75.7,40.8,14.6,28,7.5,29.4,0.1,10.6,3.1,0.7,3.3,5.1,0.7,64.4,52.8,23,17.4,20.3,262.4,18.2,7.5,9,39
