year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,grains_barley,grains_cereals-other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed-oil,oils_groundnut,oils_oilcrops-other,oils_olives,oils_palm-oil,oils_rape-and-mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_and_stimulants_cloves,spices_and_stimulants_cocoa-beans,spices_and_stimulants_coffee,spices_and_stimulants_pepper,spices_and_stimulants_pimento,spices_and_stimulants_spices-other,spices_and_stimulants_tea,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,sweeteners_sugar,sweeteners_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other
1982,8.3,17.7,32,442.6,18,61.6,2.7,2.5,56.2,7.5,5.4,31.3,5.4,71.1,5.9,55.6,10.9,1.4,84.9,4.1,13.4,170.3,0,25.5,1.3,4.6,2.6,3.1,3.4,1.3,0.6,7.5,3,3.2,7.6,1.5,8.8,0,1.5,4.7,0.1,0.8,0.8,1.5,68.6,68.5,31.7,21.3,17.3,79.2,3.1,12,33.6,127.8
1983,7.9,16.6,32.3,442.3,18.2,60.5,2.7,2.5,57.3,4.6,5.2,28.8,5.2,71.6,5.5,56.1,10.9,1.4,84.5,4.4,13.4,173.1,0,25.5,1.1,4.2,2.8,2.8,3.6,1.4,0.6,7.5,2.8,3.2,7.7,1.4,8.6,0,1.5,4.8,0.1,0.8,0.8,1.6,66.9,65.6,31.5,21.3,16.7,78.4,3.4,11.8,34.5,124
1984,7.8,16.8,31.8,448.4,18.2,61.5,2.6,2.4,57,5.2,5.3,29.9,5.6,70.4,5.8,55.8,10.3,1.5,86.1,4.7,13.3,168.3,0,25.5,1.1,4.3,2.8,3.1,3.6,1.7,0.6,7.5,3.1,3.2,7.6,1.5,8.6,0,1.5,4.8,0.1,0.8,0.8,1.7,67.1,67.8,31.4,19.9,17.6,79.5,3.5,12.2,35.4,126.7
1985,8,18.1,31,452.2,17.1,62.2,2.5,2.4,56.1,5.7,5.3,29.3,5.7,70.3,5.1,58.5,11.2,1.5,86.8,4.3,14.1,168,0,25.3,1.2,4.4,2.7,2.9,3.6,2,0.6,7.2,3.3,3.4,7.5,1.5,8.8,0,1.6,4.7,0.1,0.7,0.8,1.6,66.2,68.3,30.6,20,16.5,79.3,3.6,12.4,35.7,128.1
1986,7.9,17.7,27.7,447.5,18.3,61.5,2.6,2.4,55.3,5.9,5.5,29.9,6.1,71.9,5.1,59,11.7,1.3,86.4,4.1,13.9,168.3,0,25.3,1.1,4.3,2.7,3,4.1,2.2,0.7,7,3.5,3.6,7.5,1.6,8.9,0,1.6,4.4,0.1,0.8,0.9,1.6,66.4,68.9,30.8,19.9,16.9,80.4,3.4,12.7,35,129
1987,7.6,16.9,28.2,453.8,17.8,62,2.6,2.5,56,10.1,5.8,33.3,6.2,73.1,5.4,58.2,12,1.3,85.3,4,13.9,170,0,25.1,1,4.3,3,2.9,3.9,2.2,0.7,7.3,3.7,3.5,7.3,1.7,9.2,0,1.6,4.7,0.1,0.8,0.9,1.6,64.7,68.3,30.3,20.7,16.3,79.8,3.8,13,34.8,130.6
1988,7.8,16.6,26.9,451.6,19.1,62.7,2.7,2.4,57.2,10.1,6.1,34.3,6.5,74.1,4.5,58.1,12.2,1.4,86,3.8,13.8,172.5,0,26,1.1,4.5,2.9,2.7,3.9,2.3,0.7,7.5,4,3.6,7.4,1.7,9,0,1.6,4.6,0.2,0.8,0.9,1.6,67.6,68.1,28.9,20.1,16.5,79.1,3.9,13.2,35.4,129.7
1989,7.9,17.2,25.8,446.7,19.6,62.1,2.6,2.4,56.6,9.8,5.9,34.5,8.5,75.3,4.1,58.6,11.8,1.5,87,3.7,13.8,171,0,25.4,1.1,4.5,3.1,2.7,4.2,2.4,0.7,7.4,4,3.8,7.2,1.6,8.9,0,1.7,4.7,0.1,0.8,0.9,1.5,66.5,68.8,27.3,19.2,16.7,79.2,3.8,13.7,36.7,129.2
1990,7.7,16.4,25.9,443.4,19,58.2,2.6,2.3,55.7,10,5.6,34.5,7.7,74.6,4.6,58.5,12.3,1.5,85.1,3.6,13.2,169.3,0,26.1,1.1,4.2,2.9,2.7,4.6,2.3,0.7,7.6,3.9,3.9,7.2,1.7,8.5,0,1.7,4.9,0.2,0.8,0.9,1.7,67.7,68.4,26.3,18.3,17.4,78.2,3.8,13,36.8,131
1991,7.7,16.3,25.4,444,16.7,59.1,2.6,2.3,55.9,8.4,5.1,34.6,7.7,74.9,4.5,58.8,11.6,1.5,85.2,3.5,12.2,169.6,0,25.3,1.1,4.2,2.8,2.7,4.7,2.7,0.8,7.5,3.9,3.8,7.3,1.6,8.7,0,1.8,4.8,0.2,0.8,0.9,1.6,67.9,67.8,25.1,18.2,17.9,77.1,4.1,12.7,36,129.9
1992,7.7,16.6,25.7,444,19.1,61,2.8,2.4,58.6,10.4,5.3,36.5,8.2,74.1,4.6,58.1,10.9,1.5,85.9,3.4,12.9,168.7,0,24.6,1.1,4.3,2.9,3.1,4.8,2.7,0.8,7.8,4,4,7.2,1.7,8.2,0,1.9,4.9,0.2,0.8,0.9,1.7,65.2,69.9,23.6,17.9,18.1,76.8,4.3,13.6,36.9,132.4
1993,7.5,16.3,25.9,445.2,19.4,61.2,2.8,2.4,59.1,9.3,5.1,35.7,8.4,74.1,4,59.5,10.6,1.5,86.6,3.1,13.4,166.1,0,25.1,0.9,4.4,2.6,2.8,5.1,2.6,0.7,8,3.7,3.9,7,1.6,8.3,0,1.9,4.9,0.2,0.8,1,1.8,64.3,71,23,18.2,18.1,76.2,4.7,13.8,37.6,135.2
1994,7.3,16.3,25.5,447.3,18.3,61.6,2.8,2.5,60.5,8.3,5.2,36.5,8.3,74.1,4.3,59.7,11.2,1.5,86,3.1,13.8,168,0,23.4,1,4.6,2.7,2.9,4.8,2.6,0.8,7.9,3.9,3.9,7.1,1.6,8.6,0,2,4.8,0.2,0.8,1,1.7,65.2,71.3,23.3,17.8,18.8,77.8,5.1,14.2,37.7,136.3
1995,7.4,16.6,25.3,454.6,17.7,62.2,2.8,2.5,58.9,8.5,5.4,35,7.1,74.3,4,60.1,10.8,1.4,86.4,3.2,13.5,167.3,0,24,1,4.5,2.6,2.8,5,2.7,0.8,7.9,4.3,4,7.3,1.6,8.2,0,2,4.5,0.2,0.9,1.1,1.7,65.1,71.3,23.8,17.4,18.2,77.9,5,15.2,38.9,139
1996,7.3,16.4,25.8,456,19.3,63.2,2.8,2.6,60.7,10.2,5.3,36.6,7.8,72.5,4,59.9,10.5,1.5,87,3.1,13.7,168,0,23.4,1.1,4.6,2.5,3,4.8,2.7,0.8,7.9,4.3,4.2,7.3,1.7,8.2,0,2,5,0.2,0.9,1.1,1.8,65.8,72.9,24.9,16.9,19,78.9,5.2,15.2,41,141.4
1997,7.4,16.3,25.9,459.5,20,62.7,3.1,2.7,58.3,10.4,5.9,41.4,7.5,74.2,3.4,59.6,10.4,1.5,86.7,3.1,12.5,169.4,0,23.6,1.1,4.8,2.6,3.1,5,2.8,0.9,8.1,4.4,4.6,7.4,1.7,8,0,2.1,4.9,0.2,0.8,1.1,1.8,66,74.3,25.7,17,19.4,79.4,5.3,15.6,38.1,141.2
1998,7.3,16.2,25.9,461.7,19.3,61.3,3,2.6,57.9,9.8,5.8,41.9,7.2,75.3,3.1,59.1,10.3,1.6,86.6,3,12.4,171.8,0,23.3,1,4.8,2.5,3.5,4.9,2.8,0.9,8.4,4.5,4.4,7.4,1.8,8.2,0,2.1,5.1,0.2,0.8,1.2,1.9,66,75.9,26.4,17.1,19.7,78.6,5.6,16.1,40.7,143.8
1999,7.4,15.9,25.8,468.4,20.4,62.6,3.4,2.7,59.3,9.8,6,42.1,8.2,76.1,3.1,58.6,10.7,1.5,88.1,2.9,11.9,172.9,0,23.5,1,4.8,2.5,3.5,5,2.9,0.9,8.5,4.4,4.5,7.6,1.7,8.3,0,2.1,5.1,0.2,0.9,1.1,1.8,67.3,76.8,26.6,17.9,19.3,79.3,5.9,17.2,44.1,145.4
2000,7.2,15.4,26.4,468,21.7,63.2,3.4,2.8,58.9,9.1,6.9,40.9,8.4,74.8,3.3,60.3,10.6,1.5,88.3,2.8,11.6,172.1,0,23.7,0.9,4.9,2.6,3.7,5,2.9,0.9,8.9,4.5,4.7,7.6,1.8,8,0,2.2,5.1,0.2,0.9,1.2,1.8,67.3,77.7,26.3,17.8,19.2,79.8,6.3,17.7,44,147.8
2001,7.1,15.5,26.3,473,21.7,61.8,3.4,2.9,58.8,9.7,6.7,40.4,8.3,75.9,3.4,59.7,10.6,1.5,87.9,3,11.8,175,0,23.6,1,5.1,2.6,3.5,5.2,2.6,1,9.2,4.3,4.8,7.8,1.9,8,0,2.1,5.3,0.2,1,1.2,1.8,68,79.4,26.3,18.8,18.9,79.7,6.7,17.8,41.4,146.6
2002,7.3,15.1,26.2,475.9,22.1,62,3.4,2.9,60.3,9,6.2,43,8.7,75.7,3.4,59.5,10,1.5,88.8,2.9,11.4,175.6,0,23.8,0.9,5.4,2.6,3.9,5.4,2.6,1,9.4,4.2,4.9,7.8,2,8.3,0,2.1,5.6,0.3,1,1.3,1.9,65.5,79.6,27.1,18.6,19.1,79.7,6.6,17.6,42.4,148.4
2003,7.3,14.5,26.8,475.8,22.6,61.4,3.6,2.8,60.6,9.5,5.9,43,8.1,75.1,3.4,60.5,10.4,1.6,88.5,2.8,11.8,176.2,0,23.7,0.8,5.3,2.7,3.6,5.6,2.5,1,9.5,4.5,5.1,8,1.9,8.3,0,2.3,5.4,0.3,1,1.3,1.9,64.4,80.7,26.3,18.9,19.4,80.2,6.8,17.9,43.7,151.4
2004,7.4,14.8,27,474.2,22.8,62,3.5,3,61.6,9.3,5.8,43.4,8.1,76.3,3.2,60.8,10.2,1.6,88.7,2.8,11.1,175.2,0,23.7,0.9,5.2,2.9,3.9,6,2.7,1.2,9.2,4.4,5.3,7.7,2,8.3,0,2.4,5.7,0.2,1,1.3,1.8,64.3,80.9,26.8,18.9,19.2,80.5,6.8,18.5,48,152.2
2005,7.2,15.1,27.1,480.9,23.5,60.5,4.1,3,61.5,10.4,6.3,43.7,8.9,76.8,3.2,60.7,10.1,1.7,90.1,2.8,11.9,176,0,23.8,0.8,5.3,2.8,3.7,6.1,2.6,1.2,9.4,4.5,5.6,7.8,2.2,8.3,0,2.4,5.9,0.2,1,1.5,1.9,65.1,80.8,26.5,18.8,18.4,79.7,7.1,18.9,45.2,150.8
2006,7.4,15.5,28,482.7,22.9,62,3.6,2.9,63.7,9.8,6.2,44.2,9.2,79.5,3.3,61,11,1.8,90.4,2.5,12,175.7,0,23.7,0.9,5.2,2.9,4.3,6.4,2.6,1.2,9.5,4.5,5.9,8,2.1,8.4,0,2.6,6.1,0.2,1,1.5,1.9,64.7,79.4,25.7,18.4,19.6,79.9,7.3,18.9,44.3,151.6
2007,7.6,15.3,28.1,494.1,23.8,62.2,3.5,2.9,65.3,10,6.2,44.1,8.7,81.1,3.6,61.5,10.7,1.8,90.2,2.7,11.9,175,0,24,0.7,5.2,2.8,4.1,6.2,2.6,1.2,9.8,4.5,5.9,8.2,2.1,8.7,0,2.7,6.6,0.3,1.1,1.5,2.1,64.5,79.7,26.1,18.3,20,80.2,7.9,19.5,46.1,149.4
2008,7.7,15.1,27,491.6,24,61.3,3.4,2.8,64.9,10.1,6,44.3,8.5,81.8,3.5,61.7,10.6,1.8,90.9,2.6,11.7,175.6,0,24,0.7,5.4,3,4.2,6.5,2.7,1.2,9.9,4.5,6.1,8.1,2,8.6,0,2.7,6.5,0.3,1.1,1.5,2,65,79.1,25.9,18,20.3,80.3,8.4,19.3,46.1,148.2
2009,7.5,14.9,27.1,489,24.5,61.5,3.4,2.9,66.9,9.5,6.4,42.9,8.3,79.7,3.7,62.6,10.3,1.9,92.4,2.7,11.7,177.4,0,23.8,0.6,5.4,2.9,4.7,6.9,2.7,1.2,9.7,4.8,6,8.3,2.2,8.6,0,2.7,6.7,0.3,1.1,1.5,1.9,63.5,79,25.5,18.1,20.6,79.8,8.2,19.4,47.5,149
