"year","alcoholic_beverages_beverages-alcoholic","alcoholic_beverages_beverages-fermented","alcoholic_beverages_grapes","animal_products_animal-products","cereals_barley","cereals_cereals-other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas-and-plantains","fruits_citrus-other","fruits_dates","fruits_fruits-other","fruits_grapefruit","fruits_lemons-and-limes","fruits_oranges-and-mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed-oil","oilcrops_groundnut","oilcrops_oilcrops-other","oilcrops_olives","oilcrops_palm-oil","oilcrops_rape-and-mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses-other","spices_cloves","spices_pepper","spices_pimento","spices_spices-other","starchy_roots_cassava","starchy_roots_potatoes","starchy_roots_roots-other","starchy_roots_sweet-potatoes","starchy_roots_yams","stimulants_cocoa-beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners-other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables-other,"
1973,0,0,0,30.8,0.1,0.1,1.9,0.4,0,0.7,0.1,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.2,1.3,3.6,2,2,2.4,1,0.5,3.7,2.2,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
1974,0,0,0,31.1,0.1,0.1,1.9,0.4,0,0.7,0,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,4.9,1.4,3.4,2.1,2,2.6,0.9,0.5,4,2.1,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
1975,0,0,0,31.4,0.1,0.1,2,0.4,0,0.7,0,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.2,1.3,3.4,2,1.9,2.8,0.9,0.5,4.3,2.1,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
1976,0,0,0,31.9,0.1,0.1,2,0.3,0,0.7,0,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.3,1.2,3.5,2,2,2.9,0.9,0.5,4.4,2.2,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
1977,0,0,0,32.2,0,0.1,2,0.3,0,0.7,0,0.4,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.1,1.3,3.5,2,2,3.1,0.8,0.4,4.5,2.2,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
1978,0,0,0,32.7,0,0.1,2.1,0.3,0,0.7,0,0.5,1.9,0,0.1,0,0,0.3,0,0,0,0,0,5,1.3,3.3,2,2,3,0.9,0.4,5.1,2.4,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
1979,0,0,0,33.2,0.1,0.1,2.2,0.3,0,0.8,0,0.4,1.9,0,0.1,0,0,0.3,0,0,0,0,0,4.6,1.3,3.2,2,2,3,1,0.4,5.5,2.7,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.3,"
1980,0,0,0,33.9,0,0.1,2.3,0.3,0,0.8,0,0.4,1.9,0,0.1,0,0,0.3,0,0,0,0,0,4.8,1.3,3,2,2,3,1.1,0.4,5.8,2.8,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.3,"
1981,0,0,0,34.1,0,0.1,2.4,0.3,0,0.8,0,0.4,1.9,0,0.1,0,0,0.3,0,0,0,0,0,4.7,1.4,3,2.4,1.9,3.3,1.3,0.4,6,2.8,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.4,0,0,0,0,0,0.1,"0.3,"
1982,0,0,0,33.9,0,0.1,2.3,0.3,0,0.8,0,0.4,1.9,0.1,0.1,0,0,0.3,0,0,0,0,0,4.7,1.3,2.9,2.4,2,3.4,1.3,0.4,6.5,2.8,0.7,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1983,0,0,0,33.8,0,0.1,2.4,0.3,0.1,0.8,0,0.4,1.9,0,0.1,0,0,0.3,0,0,0,0,0,4.6,1.1,2.7,2.5,1.9,3.6,1.3,0.4,6.5,2.7,0.7,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.4,0,0,0,0,0,0.1,"0.3,"
1984,0,0,0,34.1,0,0.1,2.5,0.3,0.1,0.8,0,0.4,1.9,0,0.1,0,0,0.3,0,0,0,0,0,4.5,1.1,2.7,2.5,2,3.5,1.6,0.4,6.5,3,0.7,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1985,0,0,0,34.3,0,0,2.6,0.3,0.1,0.8,0,0.4,1.9,0,0.1,0,0,0.3,0,0,0,0,0,4.4,1.1,2.7,2.4,1.9,3.6,1.9,0.4,6.2,3.2,0.7,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1986,0,0,0,34,0,0.1,2.6,0.3,0,0.8,0,0.4,1.9,0.1,0.1,0,0,0.3,0,0,0,0,0,4.5,1.1,2.7,2.4,1.9,4.1,2.1,0.5,6,3.4,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1987,0,0,0,34.3,0,0,2.5,0.3,0.1,0.8,0,0.4,2,0,0.1,0,0,0.3,0,0,0,0,0,4.4,1,2.7,2.6,1.9,3.8,2,0.5,6.2,3.5,0.7,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1988,0,0,0,34.2,0,0,2.6,0.3,0.1,0.8,0,0.4,2,0.1,0.1,0,0,0.3,0,0,0,0,0,4.4,1.1,2.8,2.6,1.8,3.8,2.2,0.5,6.5,3.8,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1989,0,0,0,34,0,0,2.7,0.3,0.1,0.8,0,0.4,2,0.1,0.1,0,0,0.3,0,0,0,0,0,4.3,1.1,2.8,2.7,1.7,4.1,2.3,0.4,6.3,3.8,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1990,0,0,0,33.8,0,0,2.7,0.3,0.1,0.8,0,0.4,2,0.1,0.1,0,0,0.3,0,0,0,0,0,4.5,1.1,2.6,2.6,1.7,4.6,2.2,0.5,6.5,3.8,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1991,0,0,0,33.8,0,0,2.7,0.3,0.1,0.8,0,0.4,2,0,0.1,0,0,0.3,0,0,0,0,0,4.4,1,2.6,2.4,1.7,4.7,2.5,0.5,6.7,3.7,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.5,0,0,0,0,0,0.1,"0.3,"
1992,0,0,0,33.9,0,0,2.7,0.3,0.1,0.8,0,0.4,2,0.1,0.1,0,0,0.3,0,0,0,0,0,4.3,1.1,2.6,2.5,1.8,4.7,2.5,0.5,6.9,3.8,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.6,0,0,0,0,0,0.1,"0.3,"
1993,0,0,0,33.6,0,0,2.7,0.3,0.1,0.8,0,0.4,2,0,0.1,0,0,0.3,0,0,0,0,0,4.3,0.9,2.7,2.3,1.7,5.1,2.5,0.5,7.1,3.6,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.6,0,0,0,0,0,0.1,"0.3,"
1994,0,0,0,33.4,0,0,2.8,0.3,0.1,0.8,0,0.4,2,0,0.1,0,0,0.3,0,0,0,0,0,4.2,1,2.8,2.3,1.8,4.8,2.4,0.5,7,3.8,0.8,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.6,0,0,0,0,0,0.1,"0.3,"
1995,0,0,0,33.8,0,0,2.8,0.3,0.1,0.8,0,0.4,2.1,0,0.1,0,0,0.3,0,0,0,0,0,4.4,1,2.7,2.3,1.7,4.9,2.5,0.5,6.9,4.2,0.9,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.6,0,0,0,0,0,0.1,"0.3,"
1996,0,0,0,33.6,0,0,2.8,0.3,0.1,0.8,0,0.4,2.1,0.1,0.1,0,0,0.3,0,0,0,0,0,4.2,1,2.7,2.2,1.8,4.8,2.5,0.5,7,4.2,0.9,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.6,0,0,0,0,0,0.1,"0.3,"
1997,0,0,0,33.8,0,0,2.9,0.3,0.1,0.8,0,0.4,2.2,0,0.1,0,0,0.3,0,0,0,0,0,4.1,1.1,2.9,2.3,1.9,4.9,2.6,0.5,7,4.3,0.9,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0.7,0,0,0,0,0,0.1,"0.3,"
1998,0,0,0,34.1,0,0,2.9,0.3,0.1,0.8,0,0.4,2.2,0,0.1,0,0,0.3,0,0,0,0,0,4.1,1,2.9,2.2,2,4.9,2.6,0.5,7.3,4.3,0.9,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.7,0,0,0,0,0,0.1,"0.3,"
1999,0,0,0,34.5,0,0,2.9,0.3,0.1,0.8,0,0.3,2.2,0,0.1,0,0,0.3,0,0,0,0,0.1,4.1,1,2.9,2.2,2,5,2.7,0.5,7.5,4.2,0.9,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.7,0,0,0,0,0,0.1,"0.3,"
2000,0,0,0,34.5,0,0,3,0.3,0.1,0.8,0,0.3,2.2,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.9,2.9,2.2,2,5,2.7,0.6,7.7,4.3,1,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.7,0,0,0,0,0,0.1,"0.3,"
2001,0,0,0,34.6,0,0,3.1,0.3,0.1,0.8,0,0.3,2.3,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.9,3.1,2.2,2,5.2,2.4,0.6,8.1,4.2,1,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.7,0,0,0,0,0,0.1,"0.3,"
2002,0,0,0,34.7,0,0,3,0.3,0.1,0.8,0,0.3,2.3,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.9,3.3,2.2,2.1,5.4,2.4,0.6,8.2,4,1,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.7,0,0,0,0,0,0.1,"0.3,"
2003,0,0,0,34.6,0,0,3,0.3,0.1,0.8,0,0.3,2.4,0,0.1,0,0,0.4,0,0,0,0,0.1,4.1,0.8,3.2,2.2,2.1,5.6,2.2,0.6,8.3,4.3,1.1,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.8,0,0,0,0,0,0.1,"0.3,"
2004,0,0,0,34.6,0,0,3,0.3,0.1,0.8,0,0.3,2.4,0,0.1,0,0,0.4,0,0,0,0,0.1,4.1,0.9,3.1,2.5,2.2,5.9,2.4,0.7,8.1,4.2,1.1,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.8,0,0,0,0,0,0.1,"0.3,"
2005,0,0,0,34.9,0,0,2.9,0.3,0.1,0.8,0,0.3,2.5,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.8,3.2,2.4,2.1,6.1,2.4,0.7,8.2,4.4,1.1,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.8,0,0,0,0,0,0.1,"0.3,"
2006,0,0,0,35,0,0,3,0.3,0.1,0.8,0,0.4,2.5,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.9,3.1,2.4,2.2,6.3,2.3,0.7,8.3,4.4,1.2,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0,0,0,0.9,0,0,0,0,0,0.1,"0.3,"
2007,0,0,0,35.9,0,0,3,0.3,0.1,0.8,0,0.3,2.5,0,0.1,0,0,0.4,0,0,0,0,0.1,4.4,0.7,3.1,2.4,2.2,6.2,2.3,0.7,8.4,4.4,1.2,0.1,0,0.2,0,0,0.1,0.2,0.1,0.1,0.1,0,0,1,0,0,0,0,0,0.1,"0.3,"
2008,0,0,0,35.6,0,0,3.1,0.3,0.1,0.8,0,0.3,2.6,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.7,3.3,2.5,2.2,6.5,2.5,0.7,8.5,4.3,1.3,0.1,0,0.2,0,0,0.2,0.2,0.1,0.1,0,0,0,0.9,0,0,0,0,0,0.1,"0.3,"
2009,0,0,0,35.6,0,0,3.1,0.3,0.1,0.9,0,0.3,2.6,0,0.1,0,0,0.4,0,0,0,0,0.1,4.2,0.6,3.3,2.5,2.4,6.8,2.4,0.7,8.2,4.6,1.2,0.1,0,0.2,0,0,0.2,0.2,0.1,0.1,0,0,0,0.9,0,0,0,0,0,0.1,"0.3,"
